date,zara
2024-12-29,76
2025-01-05,100
2025-01-12,64
2025-01-19,59
2025-01-26,53
2025-02-02,49
2025-02-09,47
2025-02-16,47
2025-02-23,46
2025-03-02,46
2025-03-09,47
2025-03-16,48
2025-03-23,50
2025-03-30,50
2025-04-06,52
2025-04-13,53
2025-04-20,52
2025-04-27,53
2025-05-04,50
2025-05-11,50
2025-05-18,48
2025-05-25,55
2025-06-01,50
2025-06-08,51
2025-06-15,53
2025-06-22,77
2025-06-29,63
2025-07-06,56
2025-07-13,52
2025-07-20,48
2025-07-27,49
2025-08-03,50
2025-08-10,44
2025-08-17,47
2025-08-24,51
2025-08-31,48
2025-09-07,51
2025-09-14,47
2025-09-21,57
2025-09-28,61
2025-10-05,55
2025-10-12,53
2025-10-19,55
2025-10-26,57
2025-11-02,58
2025-11-09,67
