date,choni
2021-12-26,73
2022-01-02,71
2022-01-09,68
2022-01-16,63
2022-01-23,72
2022-01-30,72
2022-02-06,76
2022-02-13,77
2022-02-20,100
2022-02-27,70
2022-03-06,50
2022-03-13,60
2022-03-20,59
2022-03-27,57
2022-04-03,63
2022-04-10,74
2022-04-17,63
2022-04-24,61
2022-05-01,62
2022-05-08,65
2022-05-15,68
2022-05-22,68
2022-05-29,61
2022-06-05,73
2022-06-12,70
2022-06-19,62
2022-06-26,64
2022-07-03,67
2022-07-10,65
2022-07-17,71
2022-07-24,75
2022-07-31,71
2022-08-07,82
2022-08-14,80
2022-08-21,73
2022-08-28,65
2022-09-04,56
2022-09-11,59
2022-09-18,67
2022-09-25,52
2022-10-02,62
2022-10-09,60
2022-10-16,61
2022-10-23,52
2022-10-30,63
2022-11-06,59
2022-11-13,65
2022-11-20,66
2022-11-27,49
2022-12-04,50
2022-12-11,58
2022-12-18,59
2022-12-25,66
