date,comprar ropa online
2017-01-01,79
2017-01-08,85
2017-01-15,87
2017-01-22,74
2017-01-29,78
2017-02-05,98
2017-02-12,65
2017-02-19,69
2017-02-26,78
2017-03-05,65
2017-03-12,95
2017-03-19,84
2017-03-26,84
2017-04-02,89
2017-04-09,85
2017-04-16,76
2017-04-23,70
2017-04-30,78
2017-05-07,83
2017-05-14,69
2017-05-21,76
2017-05-28,75
2017-06-04,74
2017-06-11,65
2017-06-18,58
2017-06-25,61
2017-07-02,52
2017-07-09,49
2017-07-16,62
2017-07-23,50
2017-07-30,65
2017-08-06,69
2017-08-13,57
2017-08-20,58
2017-08-27,79
2017-09-03,79
2017-09-10,81
2017-09-17,81
2017-09-24,86
2017-10-01,84
2017-10-08,88
2017-10-15,64
2017-10-22,72
2017-10-29,85
2017-11-05,100
2017-11-12,91
2017-11-19,88
2017-11-26,89
2017-12-03,83
2017-12-10,85
2017-12-17,57
2017-12-24,67
2017-12-31,54
