date,old money
2023-01-01,27
2023-01-08,29
2023-01-15,35
2023-01-22,35
2023-01-29,28
2023-02-05,26
2023-02-12,36
2023-02-19,41
2023-02-26,33
2023-03-05,30
2023-03-12,26
2023-03-19,36
2023-03-26,45
2023-04-02,66
2023-04-09,36
2023-04-16,42
2023-04-23,67
2023-04-30,57
2023-05-07,50
2023-05-14,70
2023-05-21,60
2023-05-28,58
2023-06-04,66
2023-06-11,83
2023-06-18,65
2023-06-25,89
2023-07-02,73
2023-07-09,60
2023-07-16,76
2023-07-23,79
2023-07-30,61
2023-08-06,75
2023-08-13,85
2023-08-20,99
2023-08-27,93
2023-09-03,68
2023-09-10,66
2023-09-17,85
2023-09-24,71
2023-10-01,75
2023-10-08,69
2023-10-15,67
2023-10-22,61
2023-10-29,77
2023-11-05,55
2023-11-12,68
2023-11-19,81
2023-11-26,71
2023-12-03,69
2023-12-10,66
2023-12-17,54
2023-12-24,100
2023-12-31,72
