date,zara
2018-12-30,51
2019-01-06,87
2019-01-13,53
2019-01-20,47
2019-01-27,44
2019-02-03,40
2019-02-10,39
2019-02-17,37
2019-02-24,38
2019-03-03,38
2019-03-10,37
2019-03-17,39
2019-03-24,41
2019-03-31,38
2019-04-07,40
2019-04-14,38
2019-04-21,39
2019-04-28,45
2019-05-05,47
2019-05-12,43
2019-05-19,43
2019-05-26,42
2019-06-02,43
2019-06-09,42
2019-06-16,40
2019-06-23,59
2019-06-30,54
2019-07-07,44
2019-07-14,42
2019-07-21,39
2019-07-28,38
2019-08-04,36
2019-08-11,34
2019-08-18,36
2019-08-25,40
2019-09-01,38
2019-09-08,44
2019-09-15,39
2019-09-22,43
2019-09-29,44
2019-10-06,45
2019-10-13,47
2019-10-20,52
2019-10-27,45
2019-11-03,52
2019-11-10,54
2019-11-17,57
2019-11-24,100
2019-12-01,57
2019-12-08,58
2019-12-15,55
2019-12-22,54
2019-12-29,55
