date,stradivarius
2021-12-26,65
2022-01-02,100
2022-01-09,67
2022-01-16,55
2022-01-23,53
2022-01-30,55
2022-02-06,49
2022-02-13,46
2022-02-20,39
2022-02-27,39
2022-03-06,38
2022-03-13,38
2022-03-20,40
2022-03-27,47
2022-04-03,49
2022-04-10,49
2022-04-17,42
2022-04-24,44
2022-05-01,47
2022-05-08,48
2022-05-15,45
2022-05-22,40
2022-05-29,40
2022-06-05,43
2022-06-12,42
2022-06-19,58
2022-06-26,51
2022-07-03,44
2022-07-10,43
2022-07-17,40
2022-07-24,40
2022-07-31,38
2022-08-07,37
2022-08-14,33
2022-08-21,34
2022-08-28,35
2022-09-04,38
2022-09-11,38
2022-09-18,40
2022-09-25,47
2022-10-02,46
2022-10-09,46
2022-10-16,40
2022-10-23,41
2022-10-30,43
2022-11-06,46
2022-11-13,49
2022-11-20,82
2022-11-27,55
2022-12-04,61
2022-12-11,56
2022-12-18,56
2022-12-25,63
