date,zara
2015-12-27,54
2016-01-03,86
2016-01-10,55
2016-01-17,48
2016-01-24,43
2016-01-31,38
2016-02-07,37
2016-02-14,37
2016-02-21,38
2016-02-28,41
2016-03-06,39
2016-03-13,41
2016-03-20,39
2016-03-27,49
2016-04-03,48
2016-04-10,47
2016-04-17,42
2016-04-24,47
2016-05-01,48
2016-05-08,49
2016-05-15,47
2016-05-22,46
2016-05-29,42
2016-06-05,45
2016-06-12,44
2016-06-19,42
2016-06-26,61
2016-07-03,54
2016-07-10,43
2016-07-17,40
2016-07-24,39
2016-07-31,38
2016-08-07,34
2016-08-14,36
2016-08-21,40
2016-08-28,42
2016-09-04,41
2016-09-11,50
2016-09-18,49
2016-09-25,49
2016-10-02,51
2016-10-09,57
2016-10-16,54
2016-10-23,47
2016-10-30,50
2016-11-06,55
2016-11-13,56
2016-11-20,100
2016-11-27,59
2016-12-04,64
2016-12-11,60
2016-12-18,53
2016-12-25,62
