date,streetwear
2017-12-31,37
2018-01-07,45
2018-01-14,33
2018-01-21,45
2018-01-28,41
2018-02-04,39
2018-02-11,51
2018-02-18,59
2018-02-25,44
2018-03-04,52
2018-03-11,51
2018-03-18,40
2018-03-25,49
2018-04-01,45
2018-04-08,48
2018-04-15,54
2018-04-22,32
2018-04-29,38
2018-05-06,39
2018-05-13,51
2018-05-20,63
2018-05-27,34
2018-06-03,48
2018-06-10,43
2018-06-17,28
2018-06-24,34
2018-07-01,52
2018-07-08,53
2018-07-15,88
2018-07-22,68
2018-07-29,88
2018-08-05,48
2018-08-12,65
2018-08-19,56
2018-08-26,60
2018-09-02,80
2018-09-09,84
2018-09-16,56
2018-09-23,49
2018-09-30,54
2018-10-07,63
2018-10-14,49
2018-10-21,87
2018-10-28,86
2018-11-04,72
2018-11-11,90
2018-11-18,88
2018-11-25,70
2018-12-02,64
2018-12-09,73
2018-12-16,67
2018-12-23,100
2018-12-30,97
