date,ropa vintage
2023-01-01,52
2023-01-08,50
2023-01-15,59
2023-01-22,58
2023-01-29,67
2023-02-05,53
2023-02-12,54
2023-02-19,64
2023-02-26,63
2023-03-05,74
2023-03-12,66
2023-03-19,72
2023-03-26,57
2023-04-02,97
2023-04-09,100
2023-04-16,56
2023-04-23,53
2023-04-30,54
2023-05-07,48
2023-05-14,45
2023-05-21,49
2023-05-28,46
2023-06-04,48
2023-06-11,48
2023-06-18,32
2023-06-25,38
2023-07-02,45
2023-07-09,37
2023-07-16,44
2023-07-23,36
2023-07-30,36
2023-08-06,34
2023-08-13,43
2023-08-20,40
2023-08-27,48
2023-09-03,55
2023-09-10,50
2023-09-17,55
2023-09-24,55
2023-10-01,53
2023-10-08,41
2023-10-15,49
2023-10-22,51
2023-10-29,59
2023-11-05,46
2023-11-12,52
2023-11-19,53
2023-11-26,52
2023-12-03,50
2023-12-10,48
2023-12-17,41
2023-12-24,41
2023-12-31,47
