date,mango
2014-12-28,73
2015-01-04,82
2015-01-11,56
2015-01-18,54
2015-01-25,50
2015-02-01,50
2015-02-08,44
2015-02-15,44
2015-02-22,46
2015-03-01,55
2015-03-08,55
2015-03-15,51
2015-03-22,44
2015-03-29,52
2015-04-05,54
2015-04-12,54
2015-04-19,51
2015-04-26,51
2015-05-03,53
2015-05-10,52
2015-05-17,47
2015-05-24,45
2015-05-31,44
2015-06-07,43
2015-06-14,46
2015-06-21,65
2015-06-28,71
2015-07-05,54
2015-07-12,49
2015-07-19,44
2015-07-26,44
2015-08-02,41
2015-08-09,40
2015-08-16,40
2015-08-23,44
2015-08-30,49
2015-09-06,48
2015-09-13,43
2015-09-20,46
2015-09-27,49
2015-10-04,48
2015-10-11,48
2015-10-18,47
2015-10-25,44
2015-11-01,44
2015-11-08,44
2015-11-15,47
2015-11-22,100
2015-11-29,70
2015-12-06,59
2015-12-13,56
2015-12-20,63
2015-12-27,86
