date,cayetana
2018-12-30,4
2019-01-06,3
2019-01-13,5
2019-01-20,3
2019-01-27,4
2019-02-03,4
2019-02-10,4
2019-02-17,3
2019-02-24,3
2019-03-03,3
2019-03-10,18
2019-03-17,70
2019-03-24,16
2019-03-31,20
2019-04-07,35
2019-04-14,100
2019-04-21,59
2019-04-28,36
2019-05-05,8
2019-05-12,12
2019-05-19,11
2019-05-26,20
2019-06-02,8
2019-06-09,5
2019-06-16,6
2019-06-23,7
2019-06-30,5
2019-07-07,8
2019-07-14,3
2019-07-21,7
2019-07-28,24
2019-08-04,10
2019-08-11,7
2019-08-18,5
2019-08-25,11
2019-09-01,9
2019-09-08,15
2019-09-15,17
2019-09-22,26
2019-09-29,9
2019-10-06,12
2019-10-13,21
2019-10-20,8
2019-10-27,30
2019-11-03,24
2019-11-10,12
2019-11-17,7
2019-11-24,5
2019-12-01,8
2019-12-08,19
2019-12-15,6
2019-12-22,5
2019-12-29,7
