date,pull and bear
2017-12-31,63
2018-01-07,79
2018-01-14,50
2018-01-21,46
2018-01-28,39
2018-02-04,35
2018-02-11,32
2018-02-18,27
2018-02-25,28
2018-03-04,30
2018-03-11,33
2018-03-18,32
2018-03-25,35
2018-04-01,34
2018-04-08,33
2018-04-15,36
2018-04-22,36
2018-04-29,35
2018-05-06,33
2018-05-13,40
2018-05-20,34
2018-05-27,34
2018-06-03,34
2018-06-10,34
2018-06-17,37
2018-06-24,58
2018-07-01,51
2018-07-08,41
2018-07-15,38
2018-07-22,37
2018-07-29,36
2018-08-05,33
2018-08-12,31
2018-08-19,31
2018-08-26,33
2018-09-02,35
2018-09-09,34
2018-09-16,31
2018-09-23,30
2018-09-30,39
2018-10-07,39
2018-10-14,37
2018-10-21,38
2018-10-28,51
2018-11-04,41
2018-11-11,54
2018-11-18,100
2018-11-25,52
2018-12-02,56
2018-12-09,59
2018-12-16,60
2018-12-23,71
2018-12-30,58
