date,streetwear
2018-12-30,87
2019-01-06,79
2019-01-13,71
2019-01-20,57
2019-01-27,71
2019-02-03,51
2019-02-10,53
2019-02-17,62
2019-02-24,59
2019-03-03,57
2019-03-10,56
2019-03-17,91
2019-03-24,54
2019-03-31,75
2019-04-07,59
2019-04-14,60
2019-04-21,66
2019-04-28,67
2019-05-05,76
2019-05-12,54
2019-05-19,72
2019-05-26,60
2019-06-02,59
2019-06-09,54
2019-06-16,53
2019-06-23,57
2019-06-30,54
2019-07-07,79
2019-07-14,72
2019-07-21,77
2019-07-28,92
2019-08-04,87
2019-08-11,100
2019-08-18,83
2019-08-25,57
2019-09-01,67
2019-09-08,79
2019-09-15,68
2019-09-22,62
2019-09-29,71
2019-10-06,90
2019-10-13,78
2019-10-20,83
2019-10-27,75
2019-11-03,89
2019-11-10,80
2019-11-17,73
2019-11-24,91
2019-12-01,80
2019-12-08,76
2019-12-15,80
2019-12-22,81
2019-12-29,72
