date,comprar ropa online
2021-12-26,100
2022-01-02,44
2022-01-09,74
2022-01-16,63
2022-01-23,72
2022-01-30,60
2022-02-06,68
2022-02-13,66
2022-02-20,62
2022-02-27,57
2022-03-06,85
2022-03-13,69
2022-03-20,72
2022-03-27,68
2022-04-03,67
2022-04-10,82
2022-04-17,93
2022-04-24,82
2022-05-01,66
2022-05-08,89
2022-05-15,75
2022-05-22,61
2022-05-29,67
2022-06-05,56
2022-06-12,72
2022-06-19,71
2022-06-26,88
2022-07-03,50
2022-07-10,61
2022-07-17,72
2022-07-24,51
2022-07-31,66
2022-08-07,65
2022-08-14,51
2022-08-21,53
2022-08-28,58
2022-09-04,50
2022-09-11,49
2022-09-18,77
2022-09-25,99
2022-10-02,63
2022-10-09,85
2022-10-16,63
2022-10-23,81
2022-10-30,55
2022-11-06,75
2022-11-13,78
2022-11-20,54
2022-11-27,57
2022-12-04,71
2022-12-11,67
2022-12-18,68
2022-12-25,58
