date,zara online
2015-12-27,47
2016-01-03,100
2016-01-10,37
2016-01-17,22
2016-01-24,19
2016-01-31,19
2016-02-07,15
2016-02-14,14
2016-02-21,14
2016-02-28,13
2016-03-06,14
2016-03-13,14
2016-03-20,12
2016-03-27,13
2016-04-03,15
2016-04-10,14
2016-04-17,13
2016-04-24,14
2016-05-01,20
2016-05-08,28
2016-05-15,25
2016-05-22,26
2016-05-29,27
2016-06-05,30
2016-06-12,23
2016-06-19,16
2016-06-26,33
2016-07-03,28
2016-07-10,15
2016-07-17,15
2016-07-24,12
2016-07-31,13
2016-08-07,11
2016-08-14,11
2016-08-21,11
2016-08-28,12
2016-09-04,13
2016-09-11,13
2016-09-18,14
2016-09-25,13
2016-10-02,15
2016-10-09,17
2016-10-16,15
2016-10-23,14
2016-10-30,14
2016-11-06,17
2016-11-13,17
2016-11-20,40
2016-11-27,22
2016-12-04,24
2016-12-11,20
2016-12-18,15
2016-12-25,18
