date,shein
2020-12-27,40
2021-01-03,49
2021-01-10,48
2021-01-17,48
2021-01-24,51
2021-01-31,61
2021-02-07,54
2021-02-14,58
2021-02-21,62
2021-02-28,62
2021-03-07,62
2021-03-14,64
2021-03-21,69
2021-03-28,74
2021-04-04,77
2021-04-11,74
2021-04-18,76
2021-04-25,78
2021-05-02,84
2021-05-09,84
2021-05-16,93
2021-05-23,90
2021-05-30,100
2021-06-06,100
2021-06-13,100
2021-06-20,91
2021-06-27,92
2021-07-04,79
2021-07-11,85
2021-07-18,82
2021-07-25,75
2021-08-01,70
2021-08-08,63
2021-08-15,69
2021-08-22,66
2021-08-29,67
2021-09-05,68
2021-09-12,67
2021-09-19,67
2021-09-26,69
2021-10-03,73
2021-10-10,77
2021-10-17,75
2021-10-24,67
2021-10-31,75
2021-11-07,86
2021-11-14,79
2021-11-21,86
2021-11-28,77
2021-12-05,84
2021-12-12,75
2021-12-19,59
2021-12-26,64
