date,shein
2017-01-01,27
2017-01-08,29
2017-01-15,28
2017-01-22,35
2017-01-29,35
2017-02-05,34
2017-02-12,35
2017-02-19,36
2017-02-26,36
2017-03-05,44
2017-03-12,48
2017-03-19,51
2017-03-26,50
2017-04-02,49
2017-04-09,44
2017-04-16,41
2017-04-23,38
2017-04-30,39
2017-05-07,36
2017-05-14,39
2017-05-21,51
2017-05-28,48
2017-06-04,43
2017-06-11,58
2017-06-18,56
2017-06-25,54
2017-07-02,55
2017-07-09,53
2017-07-16,54
2017-07-23,54
2017-07-30,57
2017-08-06,59
2017-08-13,52
2017-08-20,56
2017-08-27,59
2017-09-03,51
2017-09-10,57
2017-09-17,54
2017-09-24,58
2017-10-01,63
2017-10-08,68
2017-10-15,60
2017-10-22,60
2017-10-29,62
2017-11-05,70
2017-11-12,80
2017-11-19,100
2017-11-26,87
2017-12-03,79
2017-12-10,76
2017-12-17,64
2017-12-24,53
2017-12-31,50
