date,zara online
2017-12-31,76
2018-01-07,95
2018-01-14,67
2018-01-21,58
2018-01-28,51
2018-02-04,43
2018-02-11,38
2018-02-18,36
2018-02-25,38
2018-03-04,36
2018-03-11,36
2018-03-18,39
2018-03-25,37
2018-04-01,38
2018-04-08,39
2018-04-15,43
2018-04-22,42
2018-04-29,43
2018-05-06,42
2018-05-13,36
2018-05-20,37
2018-05-27,34
2018-06-03,33
2018-06-10,35
2018-06-17,36
2018-06-24,63
2018-07-01,53
2018-07-08,45
2018-07-15,41
2018-07-22,39
2018-07-29,35
2018-08-05,31
2018-08-12,32
2018-08-19,30
2018-08-26,32
2018-09-02,36
2018-09-09,36
2018-09-16,37
2018-09-23,36
2018-09-30,42
2018-10-07,45
2018-10-14,45
2018-10-21,37
2018-10-28,48
2018-11-04,46
2018-11-11,42
2018-11-18,100
2018-11-25,53
2018-12-02,48
2018-12-09,50
2018-12-16,44
2018-12-23,40
2018-12-30,42
