date,streetwear
2023-12-31,60
2024-01-07,53
2024-01-14,53
2024-01-21,48
2024-01-28,54
2024-02-04,52
2024-02-11,59
2024-02-18,37
2024-02-25,42
2024-03-03,43
2024-03-10,43
2024-03-17,58
2024-03-24,45
2024-03-31,64
2024-04-07,47
2024-04-14,44
2024-04-21,53
2024-04-28,59
2024-05-05,44
2024-05-12,48
2024-05-19,61
2024-05-26,24
2024-06-02,43
2024-06-09,37
2024-06-16,43
2024-06-23,42
2024-06-30,49
2024-07-07,43
2024-07-14,46
2024-07-21,35
2024-07-28,53
2024-08-04,55
2024-08-11,68
2024-08-18,61
2024-08-25,66
2024-09-01,67
2024-09-08,71
2024-09-15,74
2024-09-22,68
2024-09-29,73
2024-10-06,80
2024-10-13,78
2024-10-20,77
2024-10-27,77
2024-11-03,57
2024-11-10,59
2024-11-17,87
2024-11-24,92
2024-12-01,87
2024-12-08,74
2024-12-15,100
2024-12-22,86
2024-12-29,81
