date,choni
2014-12-28,29
2015-01-04,27
2015-01-11,38
2015-01-18,33
2015-01-25,31
2015-02-01,32
2015-02-08,66
2015-02-15,36
2015-02-22,36
2015-03-01,42
2015-03-08,35
2015-03-15,34
2015-03-22,50
2015-03-29,100
2015-04-05,45
2015-04-12,31
2015-04-19,34
2015-04-26,30
2015-05-03,35
2015-05-10,34
2015-05-17,33
2015-05-24,29
2015-05-31,36
2015-06-07,26
2015-06-14,31
2015-06-21,35
2015-06-28,38
2015-07-05,29
2015-07-12,39
2015-07-19,35
2015-07-26,37
2015-08-02,32
2015-08-09,43
2015-08-16,48
2015-08-23,38
2015-08-30,33
2015-09-06,32
2015-09-13,42
2015-09-20,40
2015-09-27,37
2015-10-04,28
2015-10-11,40
2015-10-18,38
2015-10-25,31
2015-11-01,34
2015-11-08,30
2015-11-15,34
2015-11-22,45
2015-11-29,32
2015-12-06,36
2015-12-13,36
2015-12-20,37
2015-12-27,39
