date,zara online
2023-01-01,100
2023-01-08,84
2023-01-15,67
2023-01-22,64
2023-01-29,54
2023-02-05,50
2023-02-12,40
2023-02-19,42
2023-02-26,40
2023-03-05,46
2023-03-12,46
2023-03-19,49
2023-03-26,48
2023-04-02,49
2023-04-09,48
2023-04-16,51
2023-04-23,51
2023-04-30,50
2023-05-07,52
2023-05-14,50
2023-05-21,45
2023-05-28,43
2023-06-04,44
2023-06-11,49
2023-06-18,81
2023-06-25,61
2023-07-02,57
2023-07-09,54
2023-07-16,52
2023-07-23,50
2023-07-30,42
2023-08-06,40
2023-08-13,34
2023-08-20,36
2023-08-27,40
2023-09-03,34
2023-09-10,38
2023-09-17,37
2023-09-24,38
2023-10-01,37
2023-10-08,39
2023-10-15,40
2023-10-22,47
2023-10-29,51
2023-11-05,52
2023-11-12,48
2023-11-19,93
2023-11-26,64
2023-12-03,62
2023-12-10,58
2023-12-17,44
2023-12-24,55
2023-12-31,78
