date,pull and bear
2023-12-31,96
2024-01-07,100
2024-01-14,61
2024-01-21,56
2024-01-28,55
2024-02-04,45
2024-02-11,41
2024-02-18,38
2024-02-25,40
2024-03-03,38
2024-03-10,40
2024-03-17,46
2024-03-24,46
2024-03-31,43
2024-04-07,44
2024-04-14,43
2024-04-21,41
2024-04-28,43
2024-05-05,41
2024-05-12,44
2024-05-19,41
2024-05-26,47
2024-06-02,45
2024-06-09,51
2024-06-16,46
2024-06-23,83
2024-06-30,67
2024-07-07,50
2024-07-14,47
2024-07-21,49
2024-07-28,44
2024-08-04,45
2024-08-11,41
2024-08-18,42
2024-08-25,41
2024-09-01,45
2024-09-08,51
2024-09-15,47
2024-09-22,48
2024-09-29,45
2024-10-06,43
2024-10-13,46
2024-10-20,39
2024-10-27,41
2024-11-03,37
2024-11-10,41
2024-11-17,47
2024-11-24,83
2024-12-01,58
2024-12-08,60
2024-12-15,62
2024-12-22,70
2024-12-29,58
