date,streetwear
2017-01-01,52
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,32
2017-02-12,45
2017-02-19,38
2017-02-26,0
2017-03-05,0
2017-03-12,42
2017-03-19,34
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,45
2017-04-30,0
2017-05-07,37
2017-05-14,49
2017-05-21,0
2017-05-28,45
2017-06-04,0
2017-06-11,52
2017-06-18,0
2017-06-25,41
2017-07-02,58
2017-07-09,37
2017-07-16,49
2017-07-23,46
2017-07-30,43
2017-08-06,58
2017-08-13,51
2017-08-20,0
2017-08-27,38
2017-09-03,36
2017-09-10,34
2017-09-17,0
2017-09-24,37
2017-10-01,49
2017-10-08,51
2017-10-15,49
2017-10-22,48
2017-10-29,55
2017-11-05,78
2017-11-12,54
2017-11-19,55
2017-11-26,50
2017-12-03,64
2017-12-10,41
2017-12-17,59
2017-12-24,100
2017-12-31,70
