date,choni
2017-01-01,76
2017-01-08,66
2017-01-15,67
2017-01-22,76
2017-01-29,69
2017-02-05,62
2017-02-12,57
2017-02-19,89
2017-02-26,76
2017-03-05,100
2017-03-12,58
2017-03-19,58
2017-03-26,61
2017-04-02,72
2017-04-09,67
2017-04-16,50
2017-04-23,49
2017-04-30,50
2017-05-07,61
2017-05-14,59
2017-05-21,52
2017-05-28,64
2017-06-04,51
2017-06-11,54
2017-06-18,54
2017-06-25,52
2017-07-02,65
2017-07-09,71
2017-07-16,55
2017-07-23,57
2017-07-30,47
2017-08-06,57
2017-08-13,53
2017-08-20,57
2017-08-27,71
2017-09-03,59
2017-09-10,57
2017-09-17,55
2017-09-24,56
2017-10-01,52
2017-10-08,54
2017-10-15,44
2017-10-22,48
2017-10-29,47
2017-11-05,60
2017-11-12,47
2017-11-19,40
2017-11-26,53
2017-12-03,62
2017-12-10,50
2017-12-17,48
2017-12-24,55
2017-12-31,57
