date,mango
2023-01-01,77
2023-01-08,61
2023-01-15,59
2023-01-22,54
2023-01-29,51
2023-02-05,48
2023-02-12,46
2023-02-19,45
2023-02-26,48
2023-03-05,48
2023-03-12,57
2023-03-19,57
2023-03-26,57
2023-04-02,54
2023-04-09,53
2023-04-16,55
2023-04-23,56
2023-04-30,55
2023-05-07,49
2023-05-14,48
2023-05-21,47
2023-05-28,45
2023-06-04,45
2023-06-11,49
2023-06-18,63
2023-06-25,52
2023-07-02,47
2023-07-09,43
2023-07-16,40
2023-07-23,40
2023-07-30,41
2023-08-06,37
2023-08-13,35
2023-08-20,37
2023-08-27,43
2023-09-03,39
2023-09-10,44
2023-09-17,44
2023-09-24,46
2023-10-01,43
2023-10-08,43
2023-10-15,44
2023-10-22,47
2023-10-29,49
2023-11-05,53
2023-11-12,57
2023-11-19,100
2023-11-26,64
2023-12-03,58
2023-12-10,54
2023-12-17,53
2023-12-24,57
2023-12-31,60
