date,ropa vintage
2018-12-30,86
2019-01-06,74
2019-01-13,73
2019-01-20,76
2019-01-27,79
2019-02-03,73
2019-02-10,67
2019-02-17,76
2019-02-24,71
2019-03-03,66
2019-03-10,88
2019-03-17,79
2019-03-24,56
2019-03-31,66
2019-04-07,59
2019-04-14,79
2019-04-21,46
2019-04-28,73
2019-05-05,58
2019-05-12,59
2019-05-19,64
2019-05-26,47
2019-06-02,54
2019-06-09,54
2019-06-16,48
2019-06-23,42
2019-06-30,56
2019-07-07,51
2019-07-14,60
2019-07-21,76
2019-07-28,53
2019-08-04,83
2019-08-11,67
2019-08-18,73
2019-08-25,78
2019-09-01,79
2019-09-08,98
2019-09-15,100
2019-09-22,87
2019-09-29,80
2019-10-06,81
2019-10-13,92
2019-10-20,77
2019-10-27,100
2019-11-03,89
2019-11-10,83
2019-11-17,60
2019-11-24,83
2019-12-01,89
2019-12-08,80
2019-12-15,69
2019-12-22,92
2019-12-29,83
