date,moda sostenible
2018-12-30,0
2019-01-06,59
2019-01-13,0
2019-01-20,34
2019-01-27,40
2019-02-03,0
2019-02-10,58
2019-02-17,43
2019-02-24,55
2019-03-03,61
2019-03-10,37
2019-03-17,0
2019-03-24,44
2019-03-31,79
2019-04-07,46
2019-04-14,43
2019-04-21,51
2019-04-28,75
2019-05-05,0
2019-05-12,46
2019-05-19,36
2019-05-26,39
2019-06-02,58
2019-06-09,0
2019-06-16,0
2019-06-23,37
2019-06-30,43
2019-07-07,0
2019-07-14,42
2019-07-21,43
2019-07-28,58
2019-08-04,52
2019-08-11,69
2019-08-18,39
2019-08-25,43
2019-09-01,0
2019-09-08,47
2019-09-15,61
2019-09-22,48
2019-09-29,53
2019-10-06,68
2019-10-13,53
2019-10-20,46
2019-10-27,48
2019-11-03,100
2019-11-10,59
2019-11-17,86
2019-11-24,75
2019-12-01,88
2019-12-08,57
2019-12-15,73
2019-12-22,40
2019-12-29,38
