date,pija
2021-12-26,80
2022-01-02,72
2022-01-09,67
2022-01-16,59
2022-01-23,69
2022-01-30,69
2022-02-06,69
2022-02-13,68
2022-02-20,73
2022-02-27,54
2022-03-06,58
2022-03-13,52
2022-03-20,53
2022-03-27,64
2022-04-03,60
2022-04-10,72
2022-04-17,65
2022-04-24,57
2022-05-01,65
2022-05-08,59
2022-05-15,53
2022-05-22,63
2022-05-29,57
2022-06-05,48
2022-06-12,57
2022-06-19,63
2022-06-26,64
2022-07-03,63
2022-07-10,54
2022-07-17,61
2022-07-24,72
2022-07-31,100
2022-08-07,70
2022-08-14,74
2022-08-21,79
2022-08-28,59
2022-09-04,64
2022-09-11,70
2022-09-18,66
2022-09-25,62
2022-10-02,68
2022-10-09,91
2022-10-16,63
2022-10-23,66
2022-10-30,76
2022-11-06,68
2022-11-13,72
2022-11-20,68
2022-11-27,67
2022-12-04,67
2022-12-11,80
2022-12-18,88
2022-12-25,83
