date,ropa vintage
2017-01-01,61
2017-01-08,47
2017-01-15,59
2017-01-22,70
2017-01-29,55
2017-02-05,90
2017-02-12,64
2017-02-19,66
2017-02-26,78
2017-03-05,64
2017-03-12,56
2017-03-19,62
2017-03-26,57
2017-04-02,58
2017-04-09,75
2017-04-16,66
2017-04-23,55
2017-04-30,75
2017-05-07,67
2017-05-14,46
2017-05-21,63
2017-05-28,51
2017-06-04,50
2017-06-11,48
2017-06-18,45
2017-06-25,52
2017-07-02,55
2017-07-09,69
2017-07-16,64
2017-07-23,52
2017-07-30,62
2017-08-06,70
2017-08-13,58
2017-08-20,54
2017-08-27,65
2017-09-03,65
2017-09-10,65
2017-09-17,62
2017-09-24,64
2017-10-01,59
2017-10-08,75
2017-10-15,70
2017-10-22,62
2017-10-29,75
2017-11-05,96
2017-11-12,73
2017-11-19,81
2017-11-26,78
2017-12-03,90
2017-12-10,100
2017-12-17,82
2017-12-24,81
2017-12-31,87
