date,pull and bear
2018-12-30,37
2019-01-06,59
2019-01-13,36
2019-01-20,40
2019-01-27,41
2019-02-03,36
2019-02-10,33
2019-02-17,29
2019-02-24,26
2019-03-03,25
2019-03-10,27
2019-03-17,28
2019-03-24,29
2019-03-31,31
2019-04-07,32
2019-04-14,28
2019-04-21,27
2019-04-28,28
2019-05-05,32
2019-05-12,31
2019-05-19,27
2019-05-26,31
2019-06-02,36
2019-06-09,32
2019-06-16,32
2019-06-23,53
2019-06-30,49
2019-07-07,43
2019-07-14,37
2019-07-21,35
2019-07-28,34
2019-08-04,31
2019-08-11,28
2019-08-18,28
2019-08-25,28
2019-09-01,31
2019-09-08,37
2019-09-15,34
2019-09-22,35
2019-09-29,34
2019-10-06,36
2019-10-13,40
2019-10-20,49
2019-10-27,45
2019-11-03,49
2019-11-10,52
2019-11-17,54
2019-11-24,100
2019-12-01,62
2019-12-08,62
2019-12-15,64
2019-12-22,70
2019-12-29,64
