date,comprar ropa online
2015-12-27,81
2016-01-03,96
2016-01-10,89
2016-01-17,89
2016-01-24,70
2016-01-31,82
2016-02-07,87
2016-02-14,76
2016-02-21,69
2016-02-28,77
2016-03-06,70
2016-03-13,69
2016-03-20,64
2016-03-27,79
2016-04-03,88
2016-04-10,71
2016-04-17,65
2016-04-24,68
2016-05-01,69
2016-05-08,81
2016-05-15,58
2016-05-22,72
2016-05-29,67
2016-06-05,55
2016-06-12,52
2016-06-19,68
2016-06-26,66
2016-07-03,60
2016-07-10,57
2016-07-17,40
2016-07-24,43
2016-07-31,69
2016-08-07,60
2016-08-14,52
2016-08-21,56
2016-08-28,57
2016-09-04,56
2016-09-11,66
2016-09-18,65
2016-09-25,62
2016-10-02,56
2016-10-09,92
2016-10-16,63
2016-10-23,70
2016-10-30,75
2016-11-06,100
2016-11-13,73
2016-11-20,72
2016-11-27,69
2016-12-04,92
2016-12-11,75
2016-12-18,50
2016-12-25,45
