date,zara
2023-01-01,89
2023-01-08,71
2023-01-15,61
2023-01-22,57
2023-01-29,53
2023-02-05,47
2023-02-12,41
2023-02-19,41
2023-02-26,45
2023-03-05,46
2023-03-12,50
2023-03-19,53
2023-03-26,53
2023-04-02,52
2023-04-09,51
2023-04-16,53
2023-04-23,53
2023-04-30,58
2023-05-07,51
2023-05-14,49
2023-05-21,44
2023-05-28,47
2023-06-04,49
2023-06-11,51
2023-06-18,80
2023-06-25,63
2023-07-02,62
2023-07-09,53
2023-07-16,54
2023-07-23,47
2023-07-30,46
2023-08-06,42
2023-08-13,39
2023-08-20,41
2023-08-27,46
2023-09-03,44
2023-09-10,44
2023-09-17,49
2023-09-24,48
2023-10-01,46
2023-10-08,49
2023-10-15,51
2023-10-22,53
2023-10-29,56
2023-11-05,56
2023-11-12,59
2023-11-19,100
2023-11-26,65
2023-12-03,67
2023-12-10,66
2023-12-17,59
2023-12-24,65
2023-12-31,76
