date,zara online
2018-12-30,43
2019-01-06,90
2019-01-13,51
2019-01-20,47
2019-01-27,44
2019-02-03,38
2019-02-10,36
2019-02-17,35
2019-02-24,35
2019-03-03,35
2019-03-10,35
2019-03-17,34
2019-03-24,36
2019-03-31,33
2019-04-07,33
2019-04-14,32
2019-04-21,35
2019-04-28,40
2019-05-05,40
2019-05-12,38
2019-05-19,36
2019-05-26,36
2019-06-02,36
2019-06-09,36
2019-06-16,36
2019-06-23,64
2019-06-30,57
2019-07-07,43
2019-07-14,40
2019-07-21,38
2019-07-28,36
2019-08-04,34
2019-08-11,33
2019-08-18,31
2019-08-25,33
2019-09-01,32
2019-09-08,37
2019-09-15,35
2019-09-22,37
2019-09-29,36
2019-10-06,38
2019-10-13,42
2019-10-20,46
2019-10-27,42
2019-11-03,46
2019-11-10,49
2019-11-17,49
2019-11-24,100
2019-12-01,55
2019-12-08,54
2019-12-15,49
2019-12-22,45
2019-12-29,50
