date,shein
2014-12-28,0
2015-01-04,0
2015-01-11,4
2015-01-18,4
2015-01-25,0
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,0
2015-04-12,0
2015-04-19,0
2015-04-26,0
2015-05-03,0
2015-05-10,0
2015-05-17,4
2015-05-24,0
2015-05-31,5
2015-06-07,8
2015-06-14,17
2015-06-21,13
2015-06-28,22
2015-07-05,15
2015-07-12,18
2015-07-19,17
2015-07-26,21
2015-08-02,20
2015-08-09,22
2015-08-16,20
2015-08-23,24
2015-08-30,23
2015-09-06,25
2015-09-13,26
2015-09-20,30
2015-09-27,27
2015-10-04,35
2015-10-11,36
2015-10-18,37
2015-10-25,45
2015-11-01,63
2015-11-08,74
2015-11-15,89
2015-11-22,96
2015-11-29,91
2015-12-06,96
2015-12-13,100
2015-12-20,78
2015-12-27,81
