date,zara
2017-01-01,72
2017-01-08,62
2017-01-15,46
2017-01-22,40
2017-01-29,39
2017-02-05,37
2017-02-12,34
2017-02-19,32
2017-02-26,33
2017-03-05,37
2017-03-12,41
2017-03-19,40
2017-03-26,41
2017-04-02,46
2017-04-09,43
2017-04-16,42
2017-04-23,42
2017-04-30,46
2017-05-07,44
2017-05-14,46
2017-05-21,48
2017-05-28,43
2017-06-04,41
2017-06-11,42
2017-06-18,39
2017-06-25,61
2017-07-02,53
2017-07-09,44
2017-07-16,40
2017-07-23,37
2017-07-30,36
2017-08-06,37
2017-08-13,33
2017-08-20,37
2017-08-27,43
2017-09-03,42
2017-09-10,46
2017-09-17,46
2017-09-24,45
2017-10-01,44
2017-10-08,43
2017-10-15,46
2017-10-22,47
2017-10-29,47
2017-11-05,53
2017-11-12,57
2017-11-19,100
2017-11-26,59
2017-12-03,60
2017-12-10,55
2017-12-17,50
2017-12-24,54
2017-12-31,64
