date,pull and bear
2014-12-28,62
2015-01-04,95
2015-01-11,55
2015-01-18,50
2015-01-25,47
2015-02-01,42
2015-02-08,33
2015-02-15,31
2015-02-22,32
2015-03-01,33
2015-03-08,37
2015-03-15,32
2015-03-22,35
2015-03-29,38
2015-04-05,40
2015-04-12,39
2015-04-19,36
2015-04-26,34
2015-05-03,36
2015-05-10,37
2015-05-17,35
2015-05-24,33
2015-05-31,41
2015-06-07,36
2015-06-14,34
2015-06-21,34
2015-06-28,68
2015-07-05,46
2015-07-12,37
2015-07-19,33
2015-07-26,35
2015-08-02,33
2015-08-09,31
2015-08-16,30
2015-08-23,33
2015-08-30,34
2015-09-06,36
2015-09-13,38
2015-09-20,37
2015-09-27,39
2015-10-04,43
2015-10-11,45
2015-10-18,45
2015-10-25,42
2015-11-01,42
2015-11-08,41
2015-11-15,42
2015-11-22,100
2015-11-29,65
2015-12-06,57
2015-12-13,59
2015-12-20,65
2015-12-27,58
