date,ropa vintage
2021-12-26,73
2022-01-02,78
2022-01-09,74
2022-01-16,60
2022-01-23,71
2022-01-30,66
2022-02-06,65
2022-02-13,77
2022-02-20,85
2022-02-27,77
2022-03-06,74
2022-03-13,65
2022-03-20,61
2022-03-27,76
2022-04-03,65
2022-04-10,67
2022-04-17,67
2022-04-24,59
2022-05-01,69
2022-05-08,82
2022-05-15,54
2022-05-22,59
2022-05-29,57
2022-06-05,59
2022-06-12,58
2022-06-19,59
2022-06-26,62
2022-07-03,62
2022-07-10,55
2022-07-17,48
2022-07-24,64
2022-07-31,77
2022-08-07,67
2022-08-14,78
2022-08-21,75
2022-08-28,74
2022-09-04,75
2022-09-11,72
2022-09-18,80
2022-09-25,100
2022-10-02,78
2022-10-09,73
2022-10-16,75
2022-10-23,79
2022-10-30,78
2022-11-06,94
2022-11-13,87
2022-11-20,76
2022-11-27,63
2022-12-04,70
2022-12-11,67
2022-12-18,56
2022-12-25,80
