date,stradivarius
2017-12-31,65
2018-01-07,84
2018-01-14,53
2018-01-21,48
2018-01-28,45
2018-02-04,40
2018-02-11,37
2018-02-18,37
2018-02-25,36
2018-03-04,38
2018-03-11,37
2018-03-18,42
2018-03-25,44
2018-04-01,43
2018-04-08,40
2018-04-15,43
2018-04-22,48
2018-04-29,47
2018-05-06,43
2018-05-13,42
2018-05-20,41
2018-05-27,41
2018-06-03,42
2018-06-10,43
2018-06-17,42
2018-06-24,60
2018-07-01,53
2018-07-08,44
2018-07-15,37
2018-07-22,36
2018-07-29,35
2018-08-05,34
2018-08-12,32
2018-08-19,32
2018-08-26,36
2018-09-02,37
2018-09-09,41
2018-09-16,38
2018-09-23,42
2018-09-30,45
2018-10-07,49
2018-10-14,47
2018-10-21,46
2018-10-28,54
2018-11-04,49
2018-11-11,50
2018-11-18,100
2018-11-25,57
2018-12-02,56
2018-12-09,60
2018-12-16,60
2018-12-23,64
2018-12-30,50
