date,pull and bear
2015-12-27,66
2016-01-03,89
2016-01-10,55
2016-01-17,45
2016-01-24,40
2016-01-31,33
2016-02-07,31
2016-02-14,29
2016-02-21,30
2016-02-28,30
2016-03-06,32
2016-03-13,34
2016-03-20,36
2016-03-27,36
2016-04-03,33
2016-04-10,34
2016-04-17,31
2016-04-24,33
2016-05-01,36
2016-05-08,31
2016-05-15,36
2016-05-22,34
2016-05-29,35
2016-06-05,35
2016-06-12,31
2016-06-19,35
2016-06-26,55
2016-07-03,48
2016-07-10,37
2016-07-17,34
2016-07-24,33
2016-07-31,33
2016-08-07,30
2016-08-14,30
2016-08-21,32
2016-08-28,34
2016-09-04,36
2016-09-11,39
2016-09-18,43
2016-09-25,38
2016-10-02,37
2016-10-09,46
2016-10-16,40
2016-10-23,37
2016-10-30,38
2016-11-06,44
2016-11-13,42
2016-11-20,100
2016-11-27,51
2016-12-04,58
2016-12-11,55
2016-12-18,55
2016-12-25,64
