date,ropa vintage
2014-12-28,48
2015-01-04,81
2015-01-11,66
2015-01-18,89
2015-01-25,70
2015-02-01,62
2015-02-08,52
2015-02-15,50
2015-02-22,74
2015-03-01,53
2015-03-08,67
2015-03-15,62
2015-03-22,76
2015-03-29,71
2015-04-05,66
2015-04-12,72
2015-04-19,58
2015-04-26,54
2015-05-03,56
2015-05-10,76
2015-05-17,72
2015-05-24,43
2015-05-31,61
2015-06-07,47
2015-06-14,54
2015-06-21,41
2015-06-28,51
2015-07-05,56
2015-07-12,73
2015-07-19,66
2015-07-26,69
2015-08-02,64
2015-08-09,80
2015-08-16,62
2015-08-23,69
2015-08-30,96
2015-09-06,71
2015-09-13,89
2015-09-20,71
2015-09-27,74
2015-10-04,71
2015-10-11,100
2015-10-18,70
2015-10-25,73
2015-11-01,65
2015-11-08,81
2015-11-15,62
2015-11-22,50
2015-11-29,65
2015-12-06,82
2015-12-13,66
2015-12-20,63
2015-12-27,66
