date,pull and bear
2017-01-01,68
2017-01-08,59
2017-01-15,41
2017-01-22,35
2017-01-29,33
2017-02-05,28
2017-02-12,25
2017-02-19,24
2017-02-26,25
2017-03-05,27
2017-03-12,28
2017-03-19,26
2017-03-26,33
2017-04-02,32
2017-04-09,30
2017-04-16,29
2017-04-23,28
2017-04-30,28
2017-05-07,29
2017-05-14,26
2017-05-21,31
2017-05-28,31
2017-06-04,31
2017-06-11,34
2017-06-18,31
2017-06-25,49
2017-07-02,39
2017-07-09,23
2017-07-16,21
2017-07-23,19
2017-07-30,19
2017-08-06,19
2017-08-13,17
2017-08-20,19
2017-08-27,23
2017-09-03,20
2017-09-10,21
2017-09-17,21
2017-09-24,20
2017-10-01,20
2017-10-08,20
2017-10-15,22
2017-10-22,30
2017-10-29,31
2017-11-05,42
2017-11-12,42
2017-11-19,100
2017-11-26,54
2017-12-03,54
2017-12-10,49
2017-12-17,38
2017-12-24,41
2017-12-31,38
