date,shein
2023-01-01,53
2023-01-08,58
2023-01-15,61
2023-01-22,61
2023-01-29,63
2023-02-05,58
2023-02-12,52
2023-02-19,56
2023-02-26,65
2023-03-05,70
2023-03-12,73
2023-03-19,76
2023-03-26,82
2023-04-02,76
2023-04-09,84
2023-04-16,88
2023-04-23,88
2023-04-30,97
2023-05-07,96
2023-05-14,90
2023-05-21,89
2023-05-28,90
2023-06-04,99
2023-06-11,95
2023-06-18,93
2023-06-25,98
2023-07-02,100
2023-07-09,88
2023-07-16,82
2023-07-23,81
2023-07-30,81
2023-08-06,73
2023-08-13,70
2023-08-20,78
2023-08-27,77
2023-09-03,74
2023-09-10,70
2023-09-17,73
2023-09-24,75
2023-10-01,73
2023-10-08,80
2023-10-15,74
2023-10-22,77
2023-10-29,80
2023-11-05,97
2023-11-12,86
2023-11-19,85
2023-11-26,81
2023-12-03,77
2023-12-10,68
2023-12-17,54
2023-12-24,54
2023-12-31,53
