date,old money
2021-12-26,0
2022-01-02,0
2022-01-09,58
2022-01-16,0
2022-01-23,54
2022-01-30,35
2022-02-06,0
2022-02-13,25
2022-02-20,29
2022-02-27,0
2022-03-06,25
2022-03-13,26
2022-03-20,34
2022-03-27,34
2022-04-03,37
2022-04-10,52
2022-04-17,29
2022-04-24,47
2022-05-01,35
2022-05-08,45
2022-05-15,40
2022-05-22,57
2022-05-29,0
2022-06-05,26
2022-06-12,39
2022-06-19,97
2022-06-26,77
2022-07-03,58
2022-07-10,48
2022-07-17,85
2022-07-24,47
2022-07-31,71
2022-08-07,83
2022-08-14,100
2022-08-21,97
2022-08-28,69
2022-09-04,65
2022-09-11,65
2022-09-18,68
2022-09-25,60
2022-10-02,51
2022-10-09,63
2022-10-16,88
2022-10-23,69
2022-10-30,55
2022-11-06,63
2022-11-13,74
2022-11-20,38
2022-11-27,64
2022-12-04,58
2022-12-11,53
2022-12-18,66
2022-12-25,75
