date,zara
2014-12-28,54
2015-01-04,83
2015-01-11,52
2015-01-18,48
2015-01-25,43
2015-02-01,40
2015-02-08,36
2015-02-15,35
2015-02-22,38
2015-03-01,40
2015-03-08,39
2015-03-15,42
2015-03-22,40
2015-03-29,41
2015-04-05,42
2015-04-12,43
2015-04-19,42
2015-04-26,43
2015-05-03,42
2015-05-10,43
2015-05-17,40
2015-05-24,38
2015-05-31,39
2015-06-07,38
2015-06-14,36
2015-06-21,35
2015-06-28,66
2015-07-05,44
2015-07-12,41
2015-07-19,38
2015-07-26,37
2015-08-02,37
2015-08-09,37
2015-08-16,39
2015-08-23,41
2015-08-30,43
2015-09-06,44
2015-09-13,47
2015-09-20,44
2015-09-27,45
2015-10-04,46
2015-10-11,50
2015-10-18,49
2015-10-25,46
2015-11-01,47
2015-11-08,45
2015-11-15,47
2015-11-22,100
2015-11-29,61
2015-12-06,58
2015-12-13,55
2015-12-20,53
2015-12-27,54
