dataset,variable,n_nulls,pct_nulls
contexto_digitalizacion_clean,anio,0,0.0
contexto_digitalizacion_clean,pct_usuarios_rrss,0,0.0
contexto_digitalizacion_clean,pct_personas_compra_online,1,16.67
contexto_digitalizacion_extended,anio,0,0.0
contexto_digitalizacion_extended,pct_usuarios_rrss,0,0.0
contexto_digitalizacion_extended,pct_personas_compra_online,1,16.67
contexto_digitalizacion_extended,pct_personas_compra_ropa_online,5,83.33
contexto_digitalizacion_extended,comentarios_hitos,0,0.0
contexto_digitalizacion_extended,fuente_usuarios_redes,0,0.0
contexto_digitalizacion_extended,fuente_compra_online,0,0.0
contexto_digitalizacion_extended,fuente_compra_ropa_online,5,83.33
eurostat_moda_mensual_clean,fecha,0,0.0
eurostat_moda_mensual_clean,valor_indice,0,0.0
eurostat_moda_mensual_clean,fuente,0,0.0
eurostat_moda_mensual_clean,indicador,0,0.0
eurostat_retail_total_mensual_clean,fecha,0,0.0
eurostat_retail_total_mensual_clean,valor_indice,0,0.0
eurostat_retail_total_mensual_clean,fuente,0,0.0
eurostat_retail_total_mensual_clean,indicador,0,0.0
eurostat_online_empresas_clean,anio,0,0.0
eurostat_online_empresas_clean,geo,0,0.0
eurostat_online_empresas_clean,valor_pct,0,0.0
eurostat_online_empresas_clean,fuente,0,0.0
eurostat_online_empresas_clean,indicador,0,0.0
comercio_electronico_core_std,anio,0,0.0
comercio_electronico_core_std,indicador,0,0.0
comercio_electronico_core_std,tamano_empresa,0,0.0
comercio_electronico_core_std,valor,30,1.26
comercio_electronico_core_std,indicador_std,0,0.0
capa1_master_anual_analysis,anio,0,0.0
capa1_master_anual_analysis,pct_usuarios_rrss,0,0.0
capa1_master_anual_analysis,pct_personas_compra_online,0,0.0
capa1_master_anual_analysis,pct_facturacion_empresas_online,0,0.0
capa1_master_anual_analysis,pct_empresas_venden_ecommerce,0,0.0
capa1_master_anual_analysis,pct_empresas_venden_web_apps,1,25.0
capa1_master_anual_analysis,pct_ventas_ecommerce_sobre_total,0,0.0
capa1_master_anual_analysis,pct_ventas_ecommerce_sobre_total_empresas_que_venden,0,0.0
capa1_master_mensual_analysis,fecha,0,0.0
capa1_master_mensual_analysis,indice_retail_moda,0,0.0
capa1_master_mensual_analysis,indice_retail_total,0,0.0
capa1_master_mensual_analysis,anio,0,0.0
capa1_master_mensual_analysis,mes,0,0.0
capa1_master_mensual_analysis,ratio_moda_vs_total,0,0.0
capa1_master_mensual_analysis,dif_moda_vs_total,0,0.0
contexto_digitalizacion_documentado,anio,0,0.0
contexto_digitalizacion_documentado,pct_usuarios_rrss,0,0.0
contexto_digitalizacion_documentado,pct_personas_compra_online,1,16.67
contexto_digitalizacion_documentado,pct_personas_compra_ropa_online,5,83.33
contexto_digitalizacion_documentado,comentarios_hitos,0,0.0
contexto_digitalizacion_documentado,fuente_usuarios_redes,0,0.0
contexto_digitalizacion_documentado,fuente_compra_online,0,0.0
contexto_digitalizacion_documentado,fuente_compra_ropa_online,5,83.33
