dataset,rows,cols,start_period,end_period,columns
contexto_digitalizacion_clean,6,4,2020,2025,"anio, pct_usuarios_rrss, pct_personas_compra_online, pct_personas_compra_online_imputado"
contexto_digitalizacion_extended,6,9,2020,2025,"anio, pct_usuarios_rrss, pct_personas_compra_online, pct_personas_compra_ropa_online, comentarios_hitos, fuente_usuarios_redes, fuente_compra_online, fuente_compra_ropa_online, pct_personas_compra_online_imputado"
contexto_digitalizacion_documentado,6,9,2020,2025,"anio, pct_usuarios_rrss, pct_personas_compra_online, pct_personas_compra_online_imputado, pct_personas_compra_ropa_online, comentarios_hitos, fuente_usuarios_redes, fuente_compra_online, fuente_compra_ropa_online"
eurostat_moda_mensual_clean,168,5,2010-01-01,2023-12-01,"fecha, valor_indice, fuente, indicador, provisional"
eurostat_retail_total_mensual_clean,189,5,2010-01-01,2025-09-01,"fecha, valor_indice, fuente, indicador, provisional"
eurostat_online_empresas_clean,10,6,2015,2024,"anio, geo, valor_pct, fuente, indicador, provisional"
comercio_electronico_core_std,144,5,2015,2023,"anio, indicador, tamano_empresa, valor, indicador_std"
capa1_master_anual_analysis,4,9,2020,2023,"anio, pct_usuarios_rrss, pct_personas_compra_online, pct_facturacion_empresas_online, pct_empresas_venden_ecommerce, pct_empresas_venden_web_apps, pct_ventas_ecommerce_sobre_total, pct_ventas_ecommerce_sobre_total_empresas_que_venden, pct_personas_compra_online_imputado"
capa1_master_mensual_analysis,108,7,2015-01-01,2023-12-01,"fecha, indice_retail_moda, indice_retail_total, anio, mes, ratio_moda_vs_total, dif_moda_vs_total"
