_fase,fecha,valor_raw,flag,tipo,valor_indice,fuente,indicador,provisional
ANTES,2021-01,69.1,p,provisional,,,,
ANTES,2021-02,74.8,p,provisional,,,,
ANTES,2021-03,82.6,p,provisional,,,,
ANTES,2021-04,80,p,provisional,,,,
ANTES,2021-05,82.5,p,provisional,,,,
ANTES,2021-06,84.1,p,provisional,,,,
ANTES,2021-07,83.9,p,provisional,,,,
ANTES,2021-08,84.3,p,provisional,,,,
ANTES,2021-09,90.4,p,provisional,,,,
ANTES,2021-10,93.8,p,provisional,,,,
ANTES,2021-11,93.6,p,provisional,,,,
ANTES,2021-12,91.4,p,provisional,,,,
ANTES,2022-01,90.3,p,provisional,,,,
ANTES,2022-02,104.2,p,provisional,,,,
ANTES,2022-03,90.5,p,provisional,,,,
ANTES,2022-04,113.3,p,provisional,,,,
ANTES,2022-05,105.7,p,provisional,,,,
ANTES,2022-06,94.6,p,provisional,,,,
ANTES,2022-07,94.3,p,provisional,,,,
ANTES,2022-08,96.3,p,provisional,,,,
ANTES,2022-09,96.4,p,provisional,,,,
ANTES,2022-10,97.6,p,provisional,,,,
ANTES,2022-11,96.6,p,provisional,,,,
ANTES,2022-12,104.2,p,provisional,,,,
ANTES,2023-01,116.3,p,provisional,,,,
ANTES,2023-02,116.6,p,provisional,,,,
ANTES,2023-03,127,p,provisional,,,,
ANTES,2023-04,146.6,p,provisional,,,,
ANTES,2023-05,122.2,p,provisional,,,,
ANTES,2023-06,117.3,p,provisional,,,,
ANTES,2023-07,112.4,p,provisional,,,,
ANTES,2023-08,111.1,p,provisional,,,,
ANTES,2023-09,113.4,p,provisional,,,,
ANTES,2023-10,112.7,p,provisional,,,,
ANTES,2023-11,117.5,p,provisional,,,,
ANTES,2023-12,118.9,p,provisional,,,,
ANTES,2024-01,:,nan,no_disponible,,,,
ANTES,2024-02,:,nan,no_disponible,,,,
ANTES,2024-03,:,nan,no_disponible,,,,
ANTES,2024-04,:,nan,no_disponible,,,,
ANTES,2024-05,:,nan,no_disponible,,,,
ANTES,2024-06,:,nan,no_disponible,,,,
ANTES,2024-07,:,nan,no_disponible,,,,
ANTES,2024-08,:,nan,no_disponible,,,,
ANTES,2024-09,:,nan,no_disponible,,,,
ANTES,2024-10,:,nan,no_disponible,,,,
ANTES,2024-11,:,nan,no_disponible,,,,
ANTES,2024-12,:,nan,no_disponible,,,,
ANTES,2025-01,:,nan,no_disponible,,,,
ANTES,2025-02,:,nan,no_disponible,,,,
ANTES,2025-03,:,nan,no_disponible,,,,
ANTES,2025-04,:,nan,no_disponible,,,,
ANTES,2025-05,:,nan,no_disponible,,,,
ANTES,2025-06,:,nan,no_disponible,,,,
ANTES,2025-07,:,nan,no_disponible,,,,
ANTES,2025-08,:,nan,no_disponible,,,,
ANTES,2025-09,:,,no_disponible,,,,
DESPUES,2010-01-01 00:00:00,,,,119.7,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2010-02-01 00:00:00,,,,117.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2010-03-01 00:00:00,,,,120.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2010-04-01 00:00:00,,,,119.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2010-05-01 00:00:00,,,,115.8,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2010-06-01 00:00:00,,,,116.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2010-07-01 00:00:00,,,,116.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2010-08-01 00:00:00,,,,115.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2010-09-01 00:00:00,,,,117.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2010-10-01 00:00:00,,,,119.9,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2010-11-01 00:00:00,,,,116.3,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2010-12-01 00:00:00,,,,114.1,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
DESPUES,2011-01-01 00:00:00,,,,112.5,Eurostat,retail_moda_volumen_ventas_indice_base2015,True
