fecha,valor_indice,fuente,indicador
2017-03-01,98.8,Eurostat,retail_total_volumen_ventas_indice_base2015
2017-04-01,100.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2017-05-01,99.7,Eurostat,retail_total_volumen_ventas_indice_base2015
2017-06-01,100.3,Eurostat,retail_total_volumen_ventas_indice_base2015
2017-07-01,100.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2017-08-01,100.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2017-09-01,100.3,Eurostat,retail_total_volumen_ventas_indice_base2015
2017-10-01,97.7,Eurostat,retail_total_volumen_ventas_indice_base2015
2017-11-01,100.5,Eurostat,retail_total_volumen_ventas_indice_base2015
2017-12-01,100.5,Eurostat,retail_total_volumen_ventas_indice_base2015
2018-01-01,99.7,Eurostat,retail_total_volumen_ventas_indice_base2015
2018-02-01,100.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2018-03-01,100.5,Eurostat,retail_total_volumen_ventas_indice_base2015
2018-04-01,100.7,Eurostat,retail_total_volumen_ventas_indice_base2015
2018-05-01,99.8,Eurostat,retail_total_volumen_ventas_indice_base2015
2018-06-01,100.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2018-07-01,100.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2018-08-01,99.8,Eurostat,retail_total_volumen_ventas_indice_base2015
2018-09-01,99.7,Eurostat,retail_total_volumen_ventas_indice_base2015
2018-10-01,100.3,Eurostat,retail_total_volumen_ventas_indice_base2015
2018-11-01,101.1,Eurostat,retail_total_volumen_ventas_indice_base2015
2018-12-01,101.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2019-01-01,102.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2019-02-01,101.9,Eurostat,retail_total_volumen_ventas_indice_base2015
2019-03-01,101.4,Eurostat,retail_total_volumen_ventas_indice_base2015
2019-04-01,102.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2019-05-01,102.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2019-06-01,102.7,Eurostat,retail_total_volumen_ventas_indice_base2015
2019-07-01,103.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2019-08-01,102.7,Eurostat,retail_total_volumen_ventas_indice_base2015
2019-09-01,103.4,Eurostat,retail_total_volumen_ventas_indice_base2015
2019-10-01,103.1,Eurostat,retail_total_volumen_ventas_indice_base2015
2019-11-01,103.3,Eurostat,retail_total_volumen_ventas_indice_base2015
2019-12-01,103.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2020-01-01,103.1,Eurostat,retail_total_volumen_ventas_indice_base2015
2020-02-01,104.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2020-03-01,88.1,Eurostat,retail_total_volumen_ventas_indice_base2015
2020-04-01,72.1,Eurostat,retail_total_volumen_ventas_indice_base2015
2020-05-01,83.7,Eurostat,retail_total_volumen_ventas_indice_base2015
2020-06-01,98.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2020-07-01,99.4,Eurostat,retail_total_volumen_ventas_indice_base2015
2020-08-01,99.8,Eurostat,retail_total_volumen_ventas_indice_base2015
2020-09-01,99.4,Eurostat,retail_total_volumen_ventas_indice_base2015
2020-10-01,100.1,Eurostat,retail_total_volumen_ventas_indice_base2015
2020-11-01,99.7,Eurostat,retail_total_volumen_ventas_indice_base2015
2020-12-01,101.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2021-01-01,94.6,Eurostat,retail_total_volumen_ventas_indice_base2015
2021-02-01,97.6,Eurostat,retail_total_volumen_ventas_indice_base2015
2021-03-01,100.6,Eurostat,retail_total_volumen_ventas_indice_base2015
2021-04-01,97.8,Eurostat,retail_total_volumen_ventas_indice_base2015
2021-05-01,99.1,Eurostat,retail_total_volumen_ventas_indice_base2015
2021-06-01,100.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2021-07-01,100.3,Eurostat,retail_total_volumen_ventas_indice_base2015
2021-08-01,100.9,Eurostat,retail_total_volumen_ventas_indice_base2015
2021-09-01,101.3,Eurostat,retail_total_volumen_ventas_indice_base2015
2021-10-01,101.6,Eurostat,retail_total_volumen_ventas_indice_base2015
2021-11-01,105.3,Eurostat,retail_total_volumen_ventas_indice_base2015
2021-12-01,101.1,Eurostat,retail_total_volumen_ventas_indice_base2015
2022-01-01,101.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2022-02-01,102.8,Eurostat,retail_total_volumen_ventas_indice_base2015
2022-03-01,100.1,Eurostat,retail_total_volumen_ventas_indice_base2015
2022-04-01,102.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2022-05-01,103.5,Eurostat,retail_total_volumen_ventas_indice_base2015
2022-06-01,102.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2022-07-01,101.7,Eurostat,retail_total_volumen_ventas_indice_base2015
2022-08-01,102.9,Eurostat,retail_total_volumen_ventas_indice_base2015
2022-09-01,102.8,Eurostat,retail_total_volumen_ventas_indice_base2015
2022-10-01,102.4,Eurostat,retail_total_volumen_ventas_indice_base2015
2022-11-01,102.7,Eurostat,retail_total_volumen_ventas_indice_base2015
2022-12-01,102.3,Eurostat,retail_total_volumen_ventas_indice_base2015
2023-01-01,104.5,Eurostat,retail_total_volumen_ventas_indice_base2015
2023-02-01,103.4,Eurostat,retail_total_volumen_ventas_indice_base2015
2023-03-01,104.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2023-04-01,105.4,Eurostat,retail_total_volumen_ventas_indice_base2015
2023-05-01,105.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2023-06-01,105.1,Eurostat,retail_total_volumen_ventas_indice_base2015
2023-07-01,105.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2023-08-01,104.4,Eurostat,retail_total_volumen_ventas_indice_base2015
2023-09-01,103.8,Eurostat,retail_total_volumen_ventas_indice_base2015
2023-10-01,104.5,Eurostat,retail_total_volumen_ventas_indice_base2015
2023-11-01,106.4,Eurostat,retail_total_volumen_ventas_indice_base2015
2023-12-01,104.8,Eurostat,retail_total_volumen_ventas_indice_base2015
2024-01-01,105.3,Eurostat,retail_total_volumen_ventas_indice_base2015
2024-02-01,105.4,Eurostat,retail_total_volumen_ventas_indice_base2015
2024-03-01,105.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2024-04-01,105.9,Eurostat,retail_total_volumen_ventas_indice_base2015
2024-05-01,105.4,Eurostat,retail_total_volumen_ventas_indice_base2015
2024-06-01,105.4,Eurostat,retail_total_volumen_ventas_indice_base2015
2024-07-01,106.5,Eurostat,retail_total_volumen_ventas_indice_base2015
2024-08-01,107.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2024-09-01,108.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2024-10-01,108.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2024-11-01,107.5,Eurostat,retail_total_volumen_ventas_indice_base2015
2024-12-01,109.2,Eurostat,retail_total_volumen_ventas_indice_base2015
2025-01-01,107.9,Eurostat,retail_total_volumen_ventas_indice_base2015
2025-02-01,109.4,Eurostat,retail_total_volumen_ventas_indice_base2015
2025-03-01,109.4,Eurostat,retail_total_volumen_ventas_indice_base2015
2025-04-01,110.3,Eurostat,retail_total_volumen_ventas_indice_base2015
2025-05-01,110.6,Eurostat,retail_total_volumen_ventas_indice_base2015
2025-06-01,111.9,Eurostat,retail_total_volumen_ventas_indice_base2015
2025-07-01,111.5,Eurostat,retail_total_volumen_ventas_indice_base2015
2025-08-01,112.0,Eurostat,retail_total_volumen_ventas_indice_base2015
2025-09-01,112.5,Eurostat,retail_total_volumen_ventas_indice_base2015
