fecha,anio,mes_num,marca,categoria_producto,valor_trends
2015-08-01,2015,8,hm,tops,0
2015-08-01,2015,8,hm,vestidos,31
2015-08-01,2015,8,hm,zapatos,50
2015-08-01,2015,8,mango,pantalones,18
2015-08-01,2015,8,mango,tops,16
2015-08-01,2015,8,mango,vestidos,33
2015-08-01,2015,8,mango,zapatos,48
2015-08-01,2015,8,massimo_dutti,pantalones,15
2015-08-01,2015,8,massimo_dutti,tops,0
2015-08-01,2015,8,massimo_dutti,vestidos,22
2015-08-01,2015,8,massimo_dutti,zapatos,53
2015-08-01,2015,8,shein,pantalones,0
2015-08-01,2015,8,shein,tops,0
2015-08-01,2015,8,shein,vestidos,0
2015-08-01,2015,8,shein,zapatos,0
2015-08-01,2015,8,zara,pantalones,20
2015-08-01,2015,8,zara,tops,14
2015-08-01,2015,8,zara,vestidos,34
2015-08-01,2015,8,zara,zapatos,57
2015-09-01,2015,9,hm,pantalones,37
2015-09-01,2015,9,hm,tops,67
2015-09-01,2015,9,hm,vestidos,38
2015-09-01,2015,9,hm,zapatos,82
2015-09-01,2015,9,mango,pantalones,23
2015-09-01,2015,9,mango,tops,12
2015-09-01,2015,9,mango,vestidos,31
2015-09-01,2015,9,mango,zapatos,65
2015-09-01,2015,9,massimo_dutti,pantalones,21
2015-09-01,2015,9,massimo_dutti,tops,0
2015-09-01,2015,9,massimo_dutti,vestidos,25
2015-09-01,2015,9,massimo_dutti,zapatos,67
2015-09-01,2015,9,shein,pantalones,0
2015-09-01,2015,9,shein,tops,0
2015-09-01,2015,9,shein,vestidos,0
2015-09-01,2015,9,shein,zapatos,0
2015-09-01,2015,9,zara,pantalones,30
2015-09-01,2015,9,zara,tops,14
2015-09-01,2015,9,zara,vestidos,36
2015-09-01,2015,9,zara,zapatos,79
2015-10-01,2015,10,hm,pantalones,44
2015-10-01,2015,10,hm,tops,0
2015-10-01,2015,10,hm,vestidos,37
2015-10-01,2015,10,hm,zapatos,99
2015-10-01,2015,10,mango,pantalones,30
2015-10-01,2015,10,mango,tops,15
2015-10-01,2015,10,mango,vestidos,26
2015-10-01,2015,10,mango,zapatos,72
2015-10-01,2015,10,massimo_dutti,pantalones,26
2015-10-01,2015,10,massimo_dutti,tops,0
2015-10-01,2015,10,massimo_dutti,vestidos,19
2015-10-01,2015,10,massimo_dutti,zapatos,73
2015-10-01,2015,10,shein,pantalones,0
2015-10-01,2015,10,shein,tops,0
2015-10-01,2015,10,shein,vestidos,0
2015-10-01,2015,10,shein,zapatos,0
2015-10-01,2015,10,zara,pantalones,32
2015-10-01,2015,10,zara,tops,12
2015-10-01,2015,10,zara,vestidos,31
2015-10-01,2015,10,zara,zapatos,84
2015-11-01,2015,11,hm,pantalones,40
2015-11-01,2015,11,hm,tops,0
2015-11-01,2015,11,hm,vestidos,51
2015-11-01,2015,11,hm,zapatos,74
2015-11-01,2015,11,mango,pantalones,35
2015-11-01,2015,11,mango,tops,17
2015-11-01,2015,11,mango,vestidos,32
2015-11-01,2015,11,mango,zapatos,69
2015-11-01,2015,11,massimo_dutti,pantalones,32
2015-11-01,2015,11,massimo_dutti,tops,0
2015-11-01,2015,11,massimo_dutti,vestidos,23
2015-11-01,2015,11,massimo_dutti,zapatos,72
2015-11-01,2015,11,shein,pantalones,0
2015-11-01,2015,11,shein,tops,0
2015-11-01,2015,11,shein,vestidos,2
2015-11-01,2015,11,shein,zapatos,0
2015-11-01,2015,11,zara,pantalones,34
2015-11-01,2015,11,zara,tops,17
2015-11-01,2015,11,zara,vestidos,40
2015-11-01,2015,11,zara,zapatos,75
2015-12-01,2015,12,hm,pantalones,39
2015-12-01,2015,12,hm,tops,57
2015-12-01,2015,12,hm,vestidos,86
2015-12-01,2015,12,hm,zapatos,85
2015-12-01,2015,12,mango,pantalones,30
2015-12-01,2015,12,mango,tops,38
2015-12-01,2015,12,mango,vestidos,43
2015-12-01,2015,12,mango,zapatos,58
2015-12-01,2015,12,massimo_dutti,pantalones,30
2015-12-01,2015,12,massimo_dutti,tops,0
2015-12-01,2015,12,massimo_dutti,vestidos,21
2015-12-01,2015,12,massimo_dutti,zapatos,61
2015-12-01,2015,12,shein,pantalones,0
2015-12-01,2015,12,shein,tops,0
2015-12-01,2015,12,shein,vestidos,2
2015-12-01,2015,12,shein,zapatos,0
2015-12-01,2015,12,zara,pantalones,41
2015-12-01,2015,12,zara,tops,26
2015-12-01,2015,12,zara,vestidos,52
2015-12-01,2015,12,zara,zapatos,75
2016-01-01,2016,1,hm,pantalones,33
2016-01-01,2016,1,hm,tops,0
2016-01-01,2016,1,hm,vestidos,26
2016-01-01,2016,1,hm,zapatos,55
2016-01-01,2016,1,mango,pantalones,28
2016-01-01,2016,1,mango,tops,17
2016-01-01,2016,1,mango,vestidos,27
2016-01-01,2016,1,mango,zapatos,59
2016-01-01,2016,1,massimo_dutti,pantalones,31
2016-01-01,2016,1,massimo_dutti,tops,0
2016-01-01,2016,1,massimo_dutti,vestidos,18
2016-01-01,2016,1,massimo_dutti,zapatos,76
2016-01-01,2016,1,shein,pantalones,0
2016-01-01,2016,1,shein,tops,0
2016-01-01,2016,1,shein,vestidos,2
2016-01-01,2016,1,shein,zapatos,0
2016-01-01,2016,1,zara,pantalones,31
2016-01-01,2016,1,zara,tops,9
2016-01-01,2016,1,zara,vestidos,29
2016-01-01,2016,1,zara,zapatos,62
2016-02-01,2016,2,hm,pantalones,24
