fecha,termino,valor_trends,anio,mes_num,grupo,valor_cero_trends,subgrupo,tipo_termino,familia_analitica,prioridad_analitica,decision_uso
2015-01-01,comprar ropa online,91.25,2015,1,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2015-02-01,comprar ropa online,79.75,2015,2,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2015-03-01,comprar ropa online,77.4,2015,3,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2015-04-01,comprar ropa online,74.25,2015,4,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2015-05-01,comprar ropa online,64.4,2015,5,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2015-06-01,comprar ropa online,54.75,2015,6,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2015-07-01,comprar ropa online,55.0,2015,7,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2015-08-01,comprar ropa online,60.4,2015,8,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2015-09-01,comprar ropa online,74.0,2015,9,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2015-10-01,comprar ropa online,80.5,2015,10,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2015-11-01,comprar ropa online,74.6,2015,11,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2015-12-01,comprar ropa online,70.0,2015,12,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2016-01-01,comprar ropa online,85.2,2016,1,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2016-02-01,comprar ropa online,77.25,2016,2,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2016-03-01,comprar ropa online,70.5,2016,3,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2016-04-01,comprar ropa online,73.0,2016,4,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2016-05-01,comprar ropa online,69.4,2016,5,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2016-06-01,comprar ropa online,60.25,2016,6,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2016-07-01,comprar ropa online,53.8,2016,7,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2016-08-01,comprar ropa online,56.25,2016,8,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2016-09-01,comprar ropa online,62.25,2016,9,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2016-10-01,comprar ropa online,71.2,2016,10,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2016-11-01,comprar ropa online,78.5,2016,11,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2016-12-01,comprar ropa online,65.5,2016,12,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2017-01-01,comprar ropa online,80.6,2017,1,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2017-02-01,comprar ropa online,77.5,2017,2,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2017-03-01,comprar ropa online,82.0,2017,3,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2017-04-01,comprar ropa online,79.6,2017,4,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2017-05-01,comprar ropa online,75.75,2017,5,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2017-06-01,comprar ropa online,64.5,2017,6,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2017-07-01,comprar ropa online,55.6,2017,7,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2017-08-01,comprar ropa online,65.75,2017,8,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2017-09-01,comprar ropa online,81.75,2017,9,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2017-10-01,comprar ropa online,78.6,2017,10,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2017-11-01,comprar ropa online,92.0,2017,11,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2017-12-01,comprar ropa online,70.2,2017,12,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2018-01-01,comprar ropa online,78.75,2018,1,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2018-02-01,comprar ropa online,69.25,2018,2,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2018-03-01,comprar ropa online,69.0,2018,3,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
2018-04-01,comprar ropa online,70.8,2018,4,consciente_compra,False,canal_compra_online,comportamiento,consumo_online,principal,usar_en_analisis_principal
