fecha,anio,mes_num,marca,valor_trends,plataforma,n_posts,likes_totales,comentarios_totales,engagement_total,likes_medios_post,comentarios_medios_post,engagement_medio_post,n_eventos_total,n_plataformas,n_tipos_evento
2019-02-01,2019,2,hm,52.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,2019,3,hm,60.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,2019,4,hm,62.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,2019,5,hm,77.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,2019,6,hm,100.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,2019,7,hm,83.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,2019,8,hm,71.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,2019,9,hm,93.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,2019,10,hm,99.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,2019,11,hm,96.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,2019,12,hm,84.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-01-01,2020,1,hm,63.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,2020,2,hm,52.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,2020,3,hm,30.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-04-01,2020,4,hm,46.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,2020,5,hm,85.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,2020,6,hm,82.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,2020,7,hm,64.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2020-08-01,2020,8,hm,52.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,2020,9,hm,60.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,2020,10,hm,70.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,2020,11,hm,68.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,2020,12,hm,64.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,2021,1,hm,62.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,2021,2,hm,45.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,2021,3,hm,46.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2021-04-01,2021,4,hm,47.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,2021,5,hm,52.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,2021,6,hm,57.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2021-07-01,2021,7,hm,46.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,2021,8,hm,38.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,2021,9,hm,44.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2021-10-01,2021,10,hm,52.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,2021,11,hm,62.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,2021,12,hm,54.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,2022,1,hm,48.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,2022,2,hm,38.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2022-03-01,2022,3,hm,35.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2022-04-01,2022,4,hm,44.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,2022,5,hm,46.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,2022,6,hm,44.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2022-07-01,2022,7,hm,40.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-08-01,2022,8,hm,33.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,2022,9,hm,38.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2022-10-01,2022,10,hm,43.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,2022,11,hm,50.0,instagram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
