fecha,forecast,lower_ci,upper_ci
2023-01-01,105.8658584527377,76.10858269910636,135.62313420636903
2023-02-01,119.7658584527377,71.50191299136483,168.02980391411057
2023-03-01,106.0658584527377,44.63849156533964,167.49322534013575
2023-04-01,128.8658584527377,56.63543291100481,201.0962839944706
2023-05-01,121.26585845273772,39.65000616189515,202.8817107435803
2023-06-01,110.16585845273772,20.137749973322002,200.19396693215344
2023-07-01,109.86585845273771,12.147010283092087,207.58470662238335
2023-08-01,111.86585845273771,7.018892550890712,216.7128243545847
2023-09-01,111.96585845273772,0.44546018388344066,223.48625672159199
2023-10-01,113.16585845273771,-4.6505758901191,230.9822927955945
2023-11-01,112.16585845273772,-11.626811655332489,235.95852856080793
2023-12-01,119.76585845273773,-9.72753189482522,249.25924880030067
