serie,adf_statistic,p_value,n_lags,n_obs,critical_value_1%,critical_value_5%,critical_value_10%
indice_retail_moda_original,-3.6566870735275567,0.0047653220490313335,1,106,-3.4936021509366793,-2.8892174239808703,-2.58153320754717
indice_retail_moda_diff1,-7.808717406777558,7.164931154444824e-12,2,104,-3.4948504603223145,-2.889758398668639,-2.5818220155325444
ratio_moda_vs_total_original,-2.839239054305639,0.052883659853715084,2,105,-3.4942202045135513,-2.889485291005291,-2.5816762131519275
ratio_moda_vs_total_diff1,-7.842355969640481,5.890890236395862e-12,2,104,-3.4948504603223145,-2.889758398668639,-2.5818220155325444
