anio,indicador,tamano_empresa,valor
2016,M.1.K Distribución de ventas por comercio electrónico por área geográfica: Otros países de la UE(2)(1),total,25.18
2016,M.1.L Distribución de ventas por comercio electrónico por área geográfica: Resto de países (2),total,2.81
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,10.02
2016,M.1.2.A % de empresas cuyas ventas mediante páginas web o apps son >= 1% ventas totales,total,7.92
2016,M.1.2.B % de empresas cuyas ventas mediante páginas web o apps son >= 2% ventas totales,total,6.42
2016,M.1.2.C % de empresas cuyas ventas mediante páginas web o apps son >= 5% ventas totales,total,5.31
2016,M.1.2.D % de empresas cuyas ventas mediante páginas web o apps son >= 10% ventas totales,total,3.62
2016,M.1.2.E % de empresas cuyas ventas mediante páginas web o apps son >= 25% ventas totales,total,1.5
2016,M.1.2.F % de empresas cuyas ventas mediante páginas web o apps son >= 50% ventas totales,total,0.91
2016,M.1.2.G ventas mediante páginas web o apps (miles de euros),total,25439480.3
2016,M.1.2.H % ventas mediante páginas web o apps sobre el total de ventas,total,4.62
2016,M.1.2.I % ventas mediante páginas web o apps sobre el total de ventas de las empresas que venden por páginas web o apps,total,20.14
2016,M.1.3.A Distribución de ventas mediante páginas web o apps realizadas a hogares (B2C) (3),total,6.79
2016,M.1.3.B Distribución de ventas mediante páginas web o apps realizadas a otras empresas (B2B) (3),total,89.73
2016,M.1.3.C Distribución de ventas mediante páginas web o apps realizadas a la Administración Pública (B2G) (3),total,3.48
2016,M.1.4.A % de empresas que recibieron pedidos/reservas por su página web o app (5),total,97.2
2016,M.1.4.B % de empresas que reciberon pedidos/reservas por un marketplace (5),total,11.92
2016,M.1.5.A % ventas realizadas por su propia página web o app (3),total,88.53
2016,M.1.5.B % ventas realizadas por marketplace (3),total,11.47
2016,M.1.6.A Distribución de ventas mediante páginas web o apps por área geográfica: España(3),total,90.33
2016,M.1.6.B Distribución de ventas mediante páginas web o apps por área geográfica: Otros países de la UE(3)(1),total,7.56
2016,M.1.6.C Distribución de ventas mediante páginas web o apps por área geográfica: Resto de países (3),total,2.11
2016,M.1.7 % de empresas con ventas a la UE por web o apps que tuvieron limitaciones (6) (1),total,42.31
2016,M.1.7.A % de empresas con ventas a la UE con limitaciones por los elevados costes de entrega o devolución de productos(6) (1),total,34.21
2016,M.1.7.B % de empresas con ventas a la UE con limitaciones por la dificultad de resolver quejas sobre las ventas(6) (1),total,11.05
2016,M.1.7.C % de empresas con ventas a la UE con limitaciones por la adaptación del etiquetado del producto(6) (1),total,7.79
2016,M.1.7.D % de empresas con ventas a la UE con limitaciones por falta de conocimiento de lenguas extranjeras para comunicarse con clientes(6) (1),total,4.24
2016,M.1.7.E % de empresas con ventas a la UE con limitaciones por las restricciones de sus socios comerciales con la UE(6) (1),total,8.99
2016,M.1.7.F % de empresas con ventas a la UE con limitaciones por problemas con la seguridad TIC(6) (1),total,2.49
2016,M.1.8 % de empresas que han realizado ventas mediante mensajes tipo EDI,total,12.5
2016,M.1.9.A % de empresas cuyas ventas mediante mensajes tipo EDI son >= 1% ventas totales,total,11.99
2016,M.1.9.B % de empresas cuyas ventas mediante mensajes tipo EDI son >= 2% ventas totales,total,11.28
2016,M.1.9.C % de empresas cuyas ventas mediante mensajes tipo EDI son >= 5% ventas totales,total,10.55
2016,M.1.9.D % de empresas cuyas ventas mediante mensajes tipo EDI son >= 10% ventas totales,total,8.99
2016,M.1.9.E % de empresas cuyas ventas mediante mensajes tipo EDI son >= 25% ventas totales,total,5.81
2016,M.1.9.F % de empresas cuyas ventas mediante mensajes tipo EDI son >= 50% ventas totales,total,3.21
2016,M.1.9.G ventas mediante mensajes tipo EDI (miles de euros),total,88773360.5
2016,M.1.9.H % ventas mediante mensajes tipo EDI sobre el total de ventas,total,16.11
2016,M.1.9.I % ventas mediante mensajes tipo EDI sobre el total de ventas de las empresas que venden por mensajes tipo EDI,total,45.56
2016,M.1.10.A Distribución de ventas mediante EDI realizadas a otras empresas (B2B) (4),total,87.68
2016,M.1.10.B Distribución de ventas mediante EDI realizadas a la Administración Pública (B2G) (4),total,12.32
2016,M.1.11.A Distribución de ventas mediante mensajes tipo EDI por área geográfica: España(4),total,66.76
2016,M.1.11.B Distribución de ventas mediante mensajes tipo EDI por área geográfica: Otros países de la UE(4)(1),total,30.22
2016,M.1.11.C Distribución de ventas mediante mensajes tipo EDI por área geográfica: Resto de países (4),total,3.02
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,29.27
2016,M.1.A % de empresas cuyas ventas por comercio electrónico son >= 1% ventas totales,total,26.31
2016,M.1.B % de empresas cuyas ventas por comercio electrónico son >= 2% ventas totales,total,24.19
2016,M.1.C % de empresas cuyas ventas por comercio electrónico son >= 5% ventas totales,total,21.8
2016,M.1.D % de empresas cuyas ventas por comercio electrónico son >= 10% ventas totales,total,16.98
2016,M.1.E % de empresas cuyas ventas por comercio electrónico son >= 25% ventas totales,total,9.92
2016,M.1.F % de empresas cuyas ventas por comercio electrónico son >= 50% ventas totales,total,5.69
2016,M.1.G ventas mediante comercio electrónico (miles de euros),total,30771172.7
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,22.59
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,42.68
2016,M.1.J Distribución de ventas por comercio electrónico por área geográfica: España(2),total,88.77
2016,M.1.K Distribución de ventas por comercio electrónico por área geográfica: Otros países de la UE(2)(1),total,9.7
2016,M.1.L Distribución de ventas por comercio electrónico por área geográfica: Resto de países (2),total,1.52
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,14.88
2016,M.1.2.A % de empresas cuyas ventas mediante páginas web o apps son >= 1% ventas totales,total,10.84
2016,M.1.2.B % de empresas cuyas ventas mediante páginas web o apps son >= 2% ventas totales,total,8.8
2016,M.1.2.C % de empresas cuyas ventas mediante páginas web o apps son >= 5% ventas totales,total,7.0
2016,M.1.2.D % de empresas cuyas ventas mediante páginas web o apps son >= 10% ventas totales,total,4.2
2016,M.1.2.E % de empresas cuyas ventas mediante páginas web o apps son >= 25% ventas totales,total,1.94
2016,M.1.2.F % de empresas cuyas ventas mediante páginas web o apps son >= 50% ventas totales,total,1.33
2016,M.1.2.G ventas mediante páginas web o apps (miles de euros),total,4467907.34
2016,M.1.2.H % ventas mediante páginas web o apps sobre el total de ventas,total,3.28
2016,M.1.2.I % ventas mediante páginas web o apps sobre el total de ventas de las empresas que venden por páginas web o apps,total,13.59
2016,M.1.3.A Distribución de ventas mediante páginas web o apps realizadas a hogares (B2C) (3),total,21.95
2016,M.1.3.B Distribución de ventas mediante páginas web o apps realizadas a otras empresas (B2B) (3),total,77.37
2016,M.1.3.C Distribución de ventas mediante páginas web o apps realizadas a la Administración Pública (B2G) (3),total,0.68
2016,M.1.4.A % de empresas que recibieron pedidos/reservas por su página web o app (5),total,98.09
2016,M.1.4.B % de empresas que reciberon pedidos/reservas por un marketplace (5),total,12.36
2016,M.1.5.A % ventas realizadas por su propia página web o app (3),total,91.0
2016,M.1.5.B % ventas realizadas por marketplace (3),total,9.0
2016,M.1.6.A Distribución de ventas mediante páginas web o apps por área geográfica: España(3),total,85.14
2016,M.1.6.B Distribución de ventas mediante páginas web o apps por área geográfica: Otros países de la UE(3)(1),total,12.01
2016,M.1.6.C Distribución de ventas mediante páginas web o apps por área geográfica: Resto de países (3),total,2.86
2016,M.1.7 % de empresas con ventas a la UE por web o apps que tuvieron limitaciones (6) (1),total,39.86
2016,M.1.7.A % de empresas con ventas a la UE con limitaciones por los elevados costes de entrega o devolución de productos(6) (1),total,34.54
2016,M.1.7.B % de empresas con ventas a la UE con limitaciones por la dificultad de resolver quejas sobre las ventas(6) (1),total,15.04
2016,M.1.7.C % de empresas con ventas a la UE con limitaciones por la adaptación del etiquetado del producto(6) (1),total,4.99
2016,M.1.7.D % de empresas con ventas a la UE con limitaciones por falta de conocimiento de lenguas extranjeras para comunicarse con clientes(6) (1),total,2.56
2016,M.1.7.E % de empresas con ventas a la UE con limitaciones por las restricciones de sus socios comerciales con la UE(6) (1),total,5.42
2016,M.1.7.F % de empresas con ventas a la UE con limitaciones por problemas con la seguridad TIC(6) (1),total,3.53
2016,M.1.8 % de empresas que han realizado ventas mediante mensajes tipo EDI,total,19.87
2016,M.1.9.A % de empresas cuyas ventas mediante mensajes tipo EDI son >= 1% ventas totales,total,19.17
2016,M.1.9.B % de empresas cuyas ventas mediante mensajes tipo EDI son >= 2% ventas totales,total,17.76
2016,M.1.9.C % de empresas cuyas ventas mediante mensajes tipo EDI son >= 5% ventas totales,total,16.66
2016,M.1.9.D % de empresas cuyas ventas mediante mensajes tipo EDI son >= 10% ventas totales,total,13.42
2016,M.1.9.E % de empresas cuyas ventas mediante mensajes tipo EDI son >= 25% ventas totales,total,8.05
2016,M.1.9.F % de empresas cuyas ventas mediante mensajes tipo EDI son >= 50% ventas totales,total,4.12
2016,M.1.9.G ventas mediante mensajes tipo EDI (miles de euros),total,26303265.3
2016,M.1.9.H % ventas mediante mensajes tipo EDI sobre el total de ventas,total,19.31
2016,M.1.9.I % ventas mediante mensajes tipo EDI sobre el total de ventas de las empresas que venden por mensajes tipo EDI,total,41.6
2016,M.1.10.A Distribución de ventas mediante EDI realizadas a otras empresas (B2B) (4),total,99.05
2016,M.1.10.B Distribución de ventas mediante EDI realizadas a la Administración Pública (B2G) (4),total,0.95
2016,M.1.11.A Distribución de ventas mediante mensajes tipo EDI por área geográfica: España(4),total,89.39
2016,M.1.11.B Distribución de ventas mediante mensajes tipo EDI por área geográfica: Otros países de la UE(4)(1),total,9.31
2016,M.1.11.C Distribución de ventas mediante mensajes tipo EDI por área geográfica: Resto de países (4),total,1.3
2016,M.1 % de empresas que han realizado ventas por comercio electrónico,total,16.76
2016,M.1.A % de empresas cuyas ventas por comercio electrónico son >= 1% ventas totales,total,15.97
2016,M.1.B % de empresas cuyas ventas por comercio electrónico son >= 2% ventas totales,total,14.41
2016,M.1.C % de empresas cuyas ventas por comercio electrónico son >= 5% ventas totales,total,13.31
2016,M.1.D % de empresas cuyas ventas por comercio electrónico son >= 10% ventas totales,total,10.71
2016,M.1.E % de empresas cuyas ventas por comercio electrónico son >= 25% ventas totales,total,7.58
2016,M.1.F % de empresas cuyas ventas por comercio electrónico son >= 50% ventas totales,total,4.79
2016,M.1.G ventas mediante comercio electrónico (miles de euros),total,35804678.7
2016,M.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,28.55
2016,M.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,50.28
2016,M.1.J Distribución de ventas por comercio electrónico por área geográfica: España(2),total,48.79
2016,M.1.K Distribución de ventas por comercio electrónico por área geográfica: Otros países de la UE(2)(1),total,49.8
2016,M.1.L Distribución de ventas por comercio electrónico por área geográfica: Resto de países (2),total,1.42
2016,M.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,6.46
2016,M.1.2.A % de empresas cuyas ventas mediante páginas web o apps son >= 1% ventas totales,total,5.56
2016,M.1.2.B % de empresas cuyas ventas mediante páginas web o apps son >= 2% ventas totales,total,4.68
2016,M.1.2.C % de empresas cuyas ventas mediante páginas web o apps son >= 5% ventas totales,total,3.94
2016,M.1.2.D % de empresas cuyas ventas mediante páginas web o apps son >= 10% ventas totales,total,2.5
2016,M.1.2.E % de empresas cuyas ventas mediante páginas web o apps son >= 25% ventas totales,total,1.6
2016,M.1.2.F % de empresas cuyas ventas mediante páginas web o apps son >= 50% ventas totales,total,0.79
