anio,indicador,tamano_empresa,valor
2018,K.1 % de empresas que han realizado ventas por comercio electrónico,total,20.36
2018,K.1.A % de empresas cuyas ventas por comercio electrónico son >= 1% ventas totales,total,18.61
2018,K.1.B % de empresas cuyas ventas por comercio electrónico son >= 2% ventas totales,total,16.93
2018,K.1.C % de empresas cuyas ventas por comercio electrónico son >= 5% ventas totales,total,15.06
2018,K.1.D % de empresas cuyas ventas por comercio electrónico son >= 10% ventas totales,total,12.93
2018,K.1.E % de empresas cuyas ventas por comercio electrónico son >= 25% ventas totales,total,8.39
2018,K.1.F % de empresas cuyas ventas por comercio electrónico son >= 50% ventas totales,total,5.39
2018,K.1.G ventas mediante comercio electrónico (miles de euros),total,281638119.0
2018,K.1.H % ventas mediante comercio electrónico sobre el total de ventas,total,17.31
2018,K.1.I % ventas mediante comercio electrónico sobre el total de ventas de las empresas que venden por comercio electrónico,total,39.04
2018,K.1.J Distribución de ventas por comercio electrónico por área geográfica: España(2),total,81.1
2018,K.1.K Distribución de ventas por comercio electrónico por área geográfica: Otros países de la UE(2)(1),total,14.49
2018,K.1.L Distribución de ventas por comercio electrónico por área geográfica: Resto de países (2),total,4.4
2018,K.1.1 % de empresas que han realizado ventas mediante páginas web o apps,total,16.35
2018,K.1.2.A % de empresas cuyas ventas mediante páginas web o apps son >= 1% ventas totales,total,14.47
2018,K.1.2.B % de empresas cuyas ventas mediante páginas web o apps son >= 2% ventas totales,total,12.79
2018,K.1.2.C % de empresas cuyas ventas mediante páginas web o apps son >= 5% ventas totales,total,11.04
2018,K.1.2.D % de empresas cuyas ventas mediante páginas web o apps son >= 10% ventas totales,total,9.16
2018,K.1.2.E % de empresas cuyas ventas mediante páginas web o apps son >= 25% ventas totales,total,5.37
2018,K.1.2.F % de empresas cuyas ventas mediante páginas web o apps son >= 50% ventas totales,total,3.47
2018,K.1.2.G ventas mediante páginas web o apps (miles de euros),total,107381754.0
