id_respuesta,grupo_edad,sexo,freq_compra_anual,canal_compra_moda,gasto_mensual_moda,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,compra_ult_6m_por_rrss_bin,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_riesgo_arrepentimiento,target_recomendaria_bin,target_seguira_comprando_bin
238,45 - 55 años,Mujer,3,3,101 - 200€,1,2,2,1,4.8,3.2,2.0,5.0,5.0,2.5,0.0,0.0
262,56 años o más,Hombre,3,4,61 - 100€,2,2,2,0,1.2,2.0,1.5,4.0,4.0,1.5,0.0,0.0
31,18 - 28 años,Mujer,4,3,30 - 60€,1,2,4,0,4.0,2.8,4.0,4.0,4.5,3.0,0.0,0.0
189,29 - 44 años,Mujer,3,3,Menos de 30€,4,5,5,1,4.8,3.6,2.5,5.0,5.0,3.0,0.0,0.0
292,29 - 44 años,Hombre,3,3,30 - 60€,3,2,2,1,2.2,1.6,2.5,4.0,4.0,1.5,0.0,0.0
71,45 - 55 años,Hombre,2,5,Menos de 30€,2,1,1,0,1.0,1.0,2.0,5.0,4.0,1.0,0.0,0.0
196,18 - 28 años,Mujer,3,2,Menos de 30€,4,2,2,0,3.2,2.2,3.0,5.0,5.0,1.0,1.0,0.0
242,56 años o más,Mujer,4,5,30 - 60€,1,2,2,0,2.6,1.8,3.0,5.0,5.0,1.5,0.0,0.0
146,45 - 55 años,Mujer,3,5,Menos de 30€,2,2,2,0,2.2,1.8,1.5,5.0,4.5,1.5,0.0,0.0
256,56 años o más,Mujer,2,4,101 - 200€,1,2,1,0,1.2,2.4,1.5,5.0,4.0,2.0,0.0,0.0
88,18 - 28 años,Mujer,2,5,30 - 60€,3,2,2,1,3.2,2.8,4.0,4.0,5.0,2.5,1.0,1.0
35,56 años o más,Hombre,4,5,61 - 100€,1,1,1,0,1.8,2.0,2.0,4.0,3.5,1.5,0.0,0.0
49,56 años o más,Hombre,2,5,30 - 60€,3,2,5,0,1.8,2.6,4.0,3.0,4.5,1.0,0.0,0.0
176,56 años o más,Mujer,5,5,Menos de 30€,1,1,1,0,1.0,2.0,1.5,5.0,2.5,1.0,0.0,0.0
277,18 - 28 años,Mujer,4,4,Menos de 30€,2,2,5,1,4.2,4.4,3.5,4.0,4.5,1.0,1.0,1.0
249,45 - 55 años,Mujer,5,2,30 - 60€,2,4,3,0,3.0,3.2,1.0,5.0,4.5,3.5,0.0,0.0
303,18 - 28 años,Mujer,3,2,30 - 60€,2,5,3,1,3.6,1.8,3.0,5.0,5.0,2.5,0.0,0.0
127,29 - 44 años,Hombre,5,4,30 - 60€,2,4,4,0,3.8,1.8,3.5,5.0,5.0,2.5,0.0,1.0
300,56 años o más,Mujer,3,5,61 - 100€,2,1,1,0,1.4,1.4,1.5,5.0,5.0,1.0,0.0,0.0
137,45 - 55 años,Mujer,3,2,30 - 60€,1,3,4,1,4.4,2.2,1.0,5.0,2.5,1.0,0.0,0.0
239,45 - 55 años,Mujer,5,2,Menos de 30€,2,3,1,1,3.8,4.2,4.0,5.0,5.0,4.0,1.0,1.0
138,56 años o más,Mujer,3,5,101 - 200€,1,4,2,1,4.0,3.4,2.5,4.0,3.0,1.0,0.0,1.0
233,18 - 28 años,Mujer,3,1,Menos de 30€,2,3,2,0,4.4,2.4,3.5,3.0,4.5,1.5,1.0,1.0
257,56 años o más,Mujer,3,2,Más de 200€,2,4,4,1,3.2,3.8,3.5,4.0,4.0,2.5,0.0,0.0
139,45 - 55 años,Mujer,5,5,30 - 60€,1,2,3,0,2.2,2.4,3.5,5.0,5.0,1.0,0.0,0.0
44,18 - 28 años,Mujer,3,4,30 - 60€,3,3,3,1,4.2,3.6,3.0,5.0,5.0,4.5,0.0,1.0
237,56 años o más,Mujer,3,5,Más de 200€,1,2,1,0,1.0,1.8,1.0,5.0,3.0,1.0,0.0,0.0
75,56 años o más,Mujer,5,3,30 - 60€,1,2,2,1,2.6,3.4,3.0,1.0,1.0,2.0,0.0,0.0
30,18 - 28 años,Mujer,3,2,30 - 60€,4,2,2,1,4.8,2.8,3.5,4.0,5.0,3.0,1.0,1.0
147,18 - 28 años,Mujer,2,3,Menos de 30€,2,1,1,0,2.4,1.2,1.0,1.0,5.0,1.0,0.0,0.0
132,29 - 44 años,Mujer,4,3,101 - 200€,2,3,4,1,3.6,3.6,4.0,4.0,5.0,4.0,1.0,1.0
246,29 - 44 años,Mujer,2,3,Menos de 30€,3,1,1,0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0
104,18 - 28 años,Mujer,5,4,101 - 200€,3,5,5,1,5.0,4.2,3.5,5.0,5.0,4.5,1.0,1.0
224,18 - 28 años,Mujer,3,1,Menos de 30€,5,5,5,1,4.2,3.6,4.0,5.0,5.0,3.0,1.0,1.0
266,56 años o más,Hombre,4,5,Menos de 30€,1,1,1,0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,0.0
174,29 - 44 años,Mujer,3,3,61 - 100€,2,3,3,1,3.2,2.4,2.0,4.0,2.5,3.0,1.0,1.0
258,56 años o más,Mujer,1,5,Menos de 30€,1,1,1,0,1.0,2.2,1.0,5.0,5.0,1.0,0.0,0.0
180,18 - 28 años,Mujer,3,2,Menos de 30€,5,2,1,0,3.6,2.4,3.0,5.0,5.0,4.5,0.0,0.0
204,18 - 28 años,Hombre,3,4,30 - 60€,4,3,3,1,4.2,3.4,3.0,2.0,3.5,3.5,0.0,1.0
289,29 - 44 años,Mujer,4,2,Más de 200€,4,4,4,1,4.2,3.6,3.5,4.0,4.5,3.0,1.0,1.0
74,56 años o más,Mujer,3,5,30 - 60€,1,1,1,0,1.2,1.6,1.0,5.0,5.0,1.5,0.0,0.0
156,29 - 44 años,Mujer,3,2,61 - 100€,2,4,1,0,4.2,2.4,2.5,5.0,5.0,1.0,0.0,0.0
136,56 años o más,Mujer,5,5,30 - 60€,1,1,2,0,1.0,1.2,1.0,5.0,3.0,1.0,0.0,0.0
110,56 años o más,Hombre,1,5,Menos de 30€,1,1,1,0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,0.0
29,18 - 28 años,Hombre,3,4,30 - 60€,2,1,2,0,2.8,2.8,3.5,5.0,4.0,2.0,0.0,0.0
155,45 - 55 años,Mujer,3,5,30 - 60€,1,2,2,0,3.0,2.0,1.5,5.0,3.0,2.0,0.0,0.0
268,56 años o más,Mujer,1,2,61 - 100€,1,1,1,0,1.2,2.6,1.0,1.0,5.0,4.0,0.0,0.0
232,29 - 44 años,Hombre,3,2,Menos de 30€,2,1,1,0,2.8,2.2,2.5,3.0,4.5,2.5,0.0,0.0
279,29 - 44 años,Hombre,2,4,30 - 60€,2,2,1,0,2.0,1.8,1.5,5.0,4.0,1.0,0.0,0.0
212,18 - 28 años,Hombre,4,4,30 - 60€,2,4,3,1,4.0,3.8,3.5,4.0,3.5,3.0,0.0,1.0
286,29 - 44 años,Mujer,3,2,61 - 100€,4,4,3,1,4.0,3.4,3.5,4.0,4.5,3.0,1.0,1.0
296,29 - 44 años,Hombre,1,3,Menos de 30€,2,1,1,0,2.0,1.0,1.5,5.0,5.0,1.0,0.0,0.0
68,45 - 55 años,Mujer,3,5,Menos de 30€,1,2,1,0,1.0,1.6,1.0,5.0,3.5,1.0,0.0,0.0
118,29 - 44 años,Mujer,5,1,30 - 60€,4,2,2,0,3.8,4.6,5.0,4.0,4.5,3.5,1.0,1.0
187,45 - 55 años,Mujer,4,5,Menos de 30€,2,2,2,1,2.4,2.6,3.0,5.0,4.0,3.0,0.0,0.0
72,18 - 28 años,Mujer,5,3,30 - 60€,5,4,4,1,4.4,4.0,3.0,5.0,5.0,3.0,1.0,1.0
263,56 años o más,Mujer,4,4,Más de 200€,4,4,4,1,4.0,3.2,4.0,2.0,4.0,2.5,1.0,1.0
11,18 - 28 años,Mujer,4,2,Menos de 30€,4,4,5,0,4.0,3.4,3.5,4.0,5.0,3.0,0.0,1.0
47,56 años o más,Mujer,3,5,Menos de 30€,3,3,2,0,1.8,1.4,1.0,5.0,3.5,1.0,0.0,0.0
203,18 - 28 años,Hombre,2,3,30 - 60€,2,2,1,1,4.2,3.4,4.5,5.0,5.0,4.0,1.0,1.0
178,29 - 44 años,Hombre,2,3,30 - 60€,2,2,1,0,3.6,2.6,1.0,5.0,4.5,1.0,0.0,0.0
100,56 años o más,Hombre,2,5,30 - 60€,2,1,1,0,1.6,1.2,1.0,5.0,3.5,3.0,0.0,0.0
283,45 - 55 años,Hombre,2,5,Menos de 30€,1,1,1,0,1.2,1.8,1.5,5.0,5.0,2.0,0.0,0.0
17,18 - 28 años,Mujer,5,3,101 - 200€,3,3,3,1,5.0,3.6,3.5,5.0,5.0,5.0,1.0,0.0
247,29 - 44 años,Mujer,5,1,61 - 100€,1,3,1,1,3.8,2.4,3.5,5.0,4.0,5.0,1.0,0.0
185,18 - 28 años,Hombre,4,4,30 - 60€,2,1,2,1,4.2,3.2,4.0,5.0,3.5,4.5,1.0,1.0
234,45 - 55 años,Hombre,2,4,30 - 60€,2,2,1,0,3.0,1.6,2.5,4.0,4.5,1.0,1.0,0.0
163,29 - 44 años,Mujer,4,4,61 - 100€,3,4,5,1,3.6,3.8,3.5,4.0,5.0,4.0,1.0,0.0
285,18 - 28 años,Mujer,3,5,30 - 60€,2,2,2,0,1.4,1.0,1.0,4.0,3.0,1.0,0.0,0.0
38,56 años o más,Hombre,3,3,61 - 100€,1,1,1,0,1.4,1.2,1.0,5.0,1.5,1.0,0.0,0.0
50,29 - 44 años,Mujer,3,2,Menos de 30€,2,2,3,1,4.8,2.6,3.5,4.0,5.0,4.0,1.0,1.0
20,18 - 28 años,Mujer,4,3,Menos de 30€,5,4,5,1,5.0,4.6,4.5,5.0,5.0,4.5,1.0,1.0
134,45 - 55 años,Mujer,3,4,30 - 60€,3,4,2,1,3.4,3.4,3.5,4.0,4.0,2.5,0.0,0.0
82,18 - 28 años,Hombre,3,4,30 - 60€,4,4,2,1,4.4,3.8,4.0,5.0,5.0,4.5,1.0,1.0
259,56 años o más,Hombre,4,2,61 - 100€,1,2,1,0,1.8,2.2,1.5,4.0,3.5,2.0,0.0,0.0
219,29 - 44 años,Mujer,5,1,101 - 200€,4,4,5,1,5.0,5.0,4.0,5.0,5.0,3.0,1.0,1.0
171,29 - 44 años,Hombre,2,1,61 - 100€,3,2,2,1,2.8,1.8,3.5,5.0,4.0,4.0,1.0,0.0
287,29 - 44 años,Hombre,4,2,61 - 100€,4,4,4,1,4.0,3.6,4.0,4.0,4.5,3.0,1.0,1.0
98,18 - 28 años,Mujer,3,5,Menos de 30€,4,3,3,0,4.2,3.0,3.5,5.0,5.0,1.5,1.0,0.0
226,45 - 55 años,Hombre,4,3,61 - 100€,2,2,2,1,3.2,3.4,3.0,5.0,4.5,3.0,0.0,0.0
5,18 - 28 años,Mujer,2,5,Menos de 30€,1,1,1,0,1.4,1.4,1.5,5.0,5.0,1.0,0.0,0.0
36,18 - 28 años,Mujer,4,2,61 - 100€,3,5,4,1,4.4,4.2,3.5,4.0,5.0,5.0,1.0,1.0
278,56 años o más,Mujer,5,3,61 - 100€,2,3,1,1,1.6,1.8,1.0,5.0,1.0,2.0,0.0,0.0
209,45 - 55 años,Mujer,3,3,61 - 100€,1,1,1,0,1.8,2.0,2.0,5.0,3.0,2.5,0.0,0.0
306,45 - 55 años,Mujer,4,5,61 - 100€,4,3,5,1,3.4,2.8,3.5,5.0,4.5,2.0,1.0,0.0
295,29 - 44 años,Mujer,3,2,61 - 100€,3,4,3,1,4.4,3.2,3.5,5.0,5.0,3.5,1.0,1.0
293,29 - 44 años,Mujer,4,2,61 - 100€,4,4,3,1,4.0,3.6,3.5,4.0,3.5,3.0,1.0,1.0
245,45 - 55 años,Mujer,5,5,101 - 200€,2,1,1,1,3.0,2.8,2.0,5.0,4.0,4.5,0.0,1.0
112,18 - 28 años,Hombre,1,5,Menos de 30€,4,2,1,0,1.8,1.6,2.5,5.0,5.0,1.5,0.0,0.0
91,18 - 28 años,Mujer,5,4,101 - 200€,4,4,5,1,4.8,4.4,3.5,4.0,5.0,4.0,1.0,0.0
271,45 - 55 años,Mujer,4,4,30 - 60€,2,4,3,0,4.4,3.0,2.0,5.0,5.0,5.0,0.0,0.0
170,29 - 44 años,Mujer,5,1,101 - 200€,1,2,1,0,1.6,2.2,1.5,5.0,5.0,2.0,0.0,0.0
109,56 años o más,Mujer,1,5,Menos de 30€,1,1,1,0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,0.0
93,18 - 28 años,Mujer,3,2,30 - 60€,4,4,5,1,5.0,4.4,3.0,4.0,5.0,4.0,1.0,1.0
290,29 - 44 años,Hombre,2,4,Menos de 30€,2,1,1,0,1.0,1.0,1.0,5.0,4.0,1.0,0.0,0.0
294,45 - 55 años,Mujer,3,3,61 - 100€,3,2,2,1,2.2,1.6,2.5,4.0,4.0,1.5,0.0,0.0
160,29 - 44 años,Mujer,5,2,101 - 200€,2,3,3,1,3.8,3.8,4.0,4.0,4.5,4.0,0.0,0.0
200,56 años o más,Hombre,2,1,Menos de 30€,3,2,1,0,3.8,1.6,1.5,3.0,4.0,3.0,1.0,1.0
302,29 - 44 años,Mujer,5,1,61 - 100€,2,1,1,0,1.4,1.4,1.0,5.0,2.0,1.5,0.0,0.0
188,29 - 44 años,Mujer,4,3,Menos de 30€,3,5,5,1,4.2,3.0,3.5,2.0,5.0,1.0,1.0,0.0
