timestamp,grupo_edad,sexo,freq_compra_anual,canal_compra_moda,gasto_mensual_moda,rrss_habituales,marcas_ve_frecuencia_rrss,tiempo_rrss_dia,freq_contenido_moda_rrss,sigue_influencers_moda,rs_influyen_compra,ha_comprado_por_ver_en_rrss,descubre_marcas_por_rrss,contenido_moda_aumenta_ganas,compra_por_repeticion_rrss,rrss_mas_que_publicidad,atraen_prendas_de_moda,compra_impulso,influye_prueba_social,interes_productos_virales,rrss_aceleran_tendencias,rrss_favorecen_consumo_rapido,ha_comprado_y_apenas_usado,confia_influencers,autenticidad_influencer_compra,influencers_interes_comercial,compra_ult_6m_por_rrss,freq_compra_por_rrss_6m,marcas_que_mas_influyen_compra_rrss,satisfaccion_compra_rrss,arrepentimiento_compra_rrss,seguira_comprando_influido_rrss,recomendaria_productos_descubiertos_rrss,id_respuesta,compra_ult_6m_por_rrss_bin,indice_influencia_rrss,indice_impulso_tendencia,indice_confianza_influencers,indice_escepticismo_influencers,indice_difusion_fastfashion,indice_postcompra,indice_riesgo_arrepentimiento,target_recomendaria_bin,target_seguira_comprando_bin
2026-03-15 21:40:40,18 - 28 años,Mujer,5,3,101 - 200€,Instagram;TikTok;YouTube;Pinterest;X (Twitter),Zara;Mango;Otra,3,3,3,5,5,5,5,5,5,3,5,2,3,5,5,5,3,4,5,Sí,3.0,Zara,3,5,3,5,17,1,5.0,3.6,3.5,5.0,5.0,3.6666666666666665,5.0,1.0,0.0
2026-03-15 21:41:44,18 - 28 años,Mujer,5,3,30 - 60€,Instagram;TikTok;YouTube;Pinterest,Zara;H&M,5,4,4,5,3,5,5,2,5,4,3,1,3,5,5,2,4,5,5,No,,Zara;Massimo Dutti;Otra,3,2,4,5,18,0,4.6,2.6,4.5,5.0,5.0,4.0,2.0,1.0,1.0
2026-03-15 21:42:25,18 - 28 años,Mujer,3,5,30 - 60€,Instagram;Pinterest,Zara;Otra,3,5,3,3,2,4,4,3,4,5,5,4,3,5,5,4,3,5,5,No,,Zara;Otra,4,3,3,3,19,0,3.4,4.0,4.0,5.0,5.0,3.333333333333333,3.5,0.0,0.0
2026-03-15 21:43:20,18 - 28 años,Mujer,4,3,Menos de 30€,Instagram;TikTok;Pinterest;X (Twitter);Otra,Zara;Shein;Otra,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,Sí,3.0,Zara;Shein;Otra,4,4,5,5,20,1,5.0,4.6,4.5,5.0,5.0,4.666666666666667,4.5,1.0,1.0
2026-03-15 21:45:18,18 - 28 años,Mujer,3,3,30 - 60€,Instagram;TikTok;X (Twitter),Shein,1,2,2,3,3,3,2,1,2,3,1,1,2,4,3,1,1,1,5,No,2.0,Shein,3,2,2,2,21,0,2.6,1.6,1.0,5.0,3.5,2.333333333333333,1.5,0.0,0.0
2026-03-15 21:46:16,18 - 28 años,Mujer,2,3,61 - 100€,Instagram;TikTok,Zara;Mango;H&M,2,4,2,3,3,4,3,2,2,4,4,2,1,3,3,3,2,1,5,No,,Mango;H&M,2,4,1,1,22,0,3.0,2.6,1.5,5.0,3.0,1.3333333333333333,3.5,0.0,0.0
2026-03-15 21:51:50,18 - 28 años,Mujer,3,5,Menos de 30€,Instagram,Zara;Shein;H&M,3,2,1,3,4,5,5,4,4,1,1,1,1,5,3,1,2,4,4,Sí,1.0,Zara,4,1,3,3,23,1,4.2,1.6,3.0,4.0,4.0,3.333333333333333,1.0,0.0,0.0
2026-03-15 21:52:13,18 - 28 años,Mujer,5,5,Menos de 30€,Instagram;TikTok,Zara;Shein,3,1,2,2,3,1,3,1,3,3,2,3,1,5,5,1,3,3,5,No,,Shein,3,3,3,2,24,0,2.4,2.0,3.0,5.0,5.0,2.6666666666666665,2.0,0.0,0.0
2026-03-15 21:52:52,56 años o más,Mujer,4,3,61 - 100€,Instagram;YouTube,Zara;Mango;Massimo Dutti,3,4,3,3,4,3,4,3,4,4,4,2,2,4,4,4,3,4,4,Sí,2.0,Zara;Mango;Massimo Dutti,3,4,3,3,25,1,3.6,3.0,3.5,4.0,4.0,3.0,4.0,0.0,0.0
2026-03-15 21:53:02,45 - 55 años,Mujer,3,4,61 - 100€,Instagram,Zara;Shein;Otra,2,1,4,2,2,3,3,2,3,3,2,3,2,5,5,2,3,3,4,No,,Zara;Otra,3,3,2,2,26,0,2.6,2.4,3.0,4.0,5.0,2.333333333333333,2.5,0.0,0.0
